"","Squad","Comp","Player","Nation","Pos","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"1627","Leicester City","Premier League","Timothy Castagne","BEL","DF",99,100,100,100,100,100,94,100,12,98,34,22,94,100,11,37,95,96,100,8,36,75
"1628","Leicester City","Premier League","Patson Daka","ZAM","FW",77,48,22,47,48,49,13,37,96,44,73,17,58,65,38,42,63,53,55,45,49,77
"1629","Leicester City","Premier League","Kiernan Dewsbury-Hall","ENG","MF",81,84,77,82,84,90,59,84,32,72,45,29,87,91,48,52,94,77,92,13,35,52
"1630","Leicester City","Premier League","Jonny Evans","NIR","DF",24,42,91,41,42,46,92,70,12,1,52,8,50,75,15,17,19,35,53,17,18,19
"1633","Leicester City","Premier League","Kelechi Iheanacho","NGA","FW,MF",70,45,22,44,46,43,32,28,96,38,73,11,50,63,28,34,49,62,60,57,57,86
"1636","Leicester City","Premier League","James Maddison","ENG","MF,FW",77,90,95,87,90,90,85,92,22,91,20,23,90,99,11,34,47,89,97,16,38,66
"1639","Leicester City","Premier League","Nampalys Mendy","SEN","MF",41,30,22,29,31,30,29,37,85,48,91,59,38,36,54,50,73,41,34,66,67,92
"1640","Leicester City","Premier League","Wilfred Ndidi","NGA","MF",66,65,55,63,65,66,55,64,69,54,59,12,67,90,11,23,24,61,81,12,25,26
"1641","Leicester City","Premier League","Ricardo Pereira","POR","DF,MF",16,18,28,17,18,22,55,43,50,10,45,12,12,31,22,5,7,18,21,43,33,51
"1642","Leicester City","Premier League","Ayoze Pérez","ESP","MF,FW",12,15,33,15,15,15,40,28,50,88,83,14,14,13,54,45,65,16,13,57,58,82
"1643","Leicester City","Premier League","Dennis Praet","BEL","MF,FW",49,26,10,25,26,26,2,18,95,54,87,42,30,28,54,49,72,27,31,41,37,56
"1645","Leicester City","Premier League","Boubakary Soumaré","FRA","MF",62,63,58,61,63,68,40,67,56,59,52,29,55,79,15,28,36,64,85,10,22,18
"1646","Leicester City","Premier League","Harry Souttar","AUS","DF",21,40,95,39,40,43,100,73,12,1,70,10,41,52,28,31,44,41,51,30,33,49
"1647","Leicester City","Premier League","Çağlar Söyüncü","TUR","DF",10,21,81,20,21,26,89,52,12,5,92,38,30,36,38,26,37,38,25,73,82,98
"1648","Leicester City","Premier League","Tetê","BRA","FW",24,30,45,29,30,36,19,18,41,84,64,18,41,42,48,44,66,41,36,61,62,87
"1649","Leicester City","Premier League","Luke Thomas","ENG","DF",35,43,58,42,43,43,85,64,56,48,96,20,43,55,28,33,48,48,62,20,24,29
"1650","Leicester City","Premier League","Youri Tielemans","BEL","MF",81,85,81,83,85,87,68,84,41,84,20,24,84,97,11,31,37,82,96,8,28,23
"1651","Leicester City","Premier League","Jamie Vardy","ENG","FW",99,71,36,69,71,66,36,56,96,72,34,22,66,89,11,26,28,65,85,10,26,24
"1662","Lens","Ligue 1","Jimmy Cabot","FRA","DF,MF",19,20,30,20,20,22,63,43,56,28,20,94,27,16,66,72,17,33,16,77,89,65
"1663","Lens","Ligue 1","Alexis Claude-Maurice","FRA","MF,FW",41,22,8,21,22,19,15,18,93,33,70,98,35,16,76,87,42,28,15,74,82,43
"1664","Lens","Ligue 1","David Pereira da Costa","POR","MF,FW",81,56,28,55,56,58,24,28,93,38,59,92,66,22,91,91,54,77,42,92,94,87
"1666","Lens","Ligue 1","Seko Fofana","CIV","MF",96,99,100,99,99,99,94,98,12,98,20,94,98,68,98,90,31,99,89,96,84,27
"1668","Lens","Ligue 1","Przemysław Frankowski","POL","DF,MF",98,95,81,95,95,93,81,86,56,88,20,93,97,55,98,92,83,96,82,94,83,24
"1669","Lens","Ligue 1","Angelo Fulgini","FRA","MF,FW",32,32,36,32,32,43,13,18,50,21,20,95,58,16,89,97,87,41,17,84,92,75
"1673","Lens","Ligue 1","Massadio Haïdara","MLI","DF,MF",96,62,28,61,62,58,59,73,97,24,20,94,60,22,88,84,28,75,50,89,85,52
"1677","Lens","Ligue 1","Julien Le Cardinal","FRA","DF",10,4,3,4,4,11,22,18,50,1,87,76,9,5,59,59,10,10,4,65,92,70
"1680","Lens","Ligue 1","Deiver Machado","COL","DF,MF",85,79,63,78,79,81,47,28,64,72,45,93,90,60,93,86,28,90,66,93,86,58
"1682","Lens","Ligue 1","Jean Onana","CMR","MF,DF",44,32,20,32,32,36,29,28,82,10,87,98,41,19,78,82,32,40,31,67,68,14
"1683","Lens","Ligue 1","Loïs Openda","BEL","FW",99,88,63,88,89,90,47,48,74,88,20,94,94,55,97,91,66,95,76,94,86,57
"1685","Lens","Ligue 1","Łukasz Poręba","POL","MF",16,10,7,10,10,15,17,18,64,5,99,96,22,5,73,95,73,16,7,69,89,65
"1686","Lens","Ligue 1","Wesley Saïd","FRA","FW,MF",44,25,11,25,25,26,5,18,91,44,34,98,32,13,76,84,35,34,24,67,72,21
"1688","Lens","Ligue 1","Florian Sotoca","FRA","MF,FW",99,99,93,99,99,99,85,90,32,92,20,94,99,57,99,94,100,99,85,98,89,100
"1689","Lens","Ligue 1","Adrien Thomasson","FRA","MF,FW",41,48,58,48,48,55,32,37,41,67,20,92,73,36,90,92,62,58,38,81,81,33
"1691","Leverkusen","Bundesliga","Amine Adli","FRA","FW,MF",62,57,44,60,57,58,36,28,78,72,34,75,75,48,87,85,91,69,41,88,86,95
"1692","Leverkusen","Bundesliga","Nadiem Amiri","GER","MF,FW",58,39,20,43,39,36,40,37,95,38,59,60,55,55,54,51,29,41,33,65,64,38
"1693","Leverkusen","Bundesliga","Robert Andrich","GER","MF",73,88,95,92,88,90,81,96,12,21,20,67,95,89,87,76,92,91,86,80,69,41
"1695","Leverkusen","Bundesliga","Charles Aránguiz","CHI","MF",16,19,34,21,19,19,7,18,56,96,20,16,24,28,42,30,13,22,22,48,42,13
"1697","Leverkusen","Bundesliga","Sardar Azmoun","IRN","FW,MF",52,37,22,40,38,33,63,43,93,38,52,45,41,48,38,37,14,51,36,76,77,69
"1698","Leverkusen","Bundesliga","Mitchel Bakker","NED","DF,MF",70,64,50,69,64,66,59,73,74,21,59,65,80,75,76,68,56,67,61,68,63,29
"1699","Leverkusen","Bundesliga","Karim Bellarabi","GER","FW,MF",12,1,0,1,1,6,2,18,64,3,77,65,2,2,54,14,6,3,3,53,24,7
"1700","Leverkusen","Bundesliga","Kerem Demirbay","GER","MF",58,60,55,64,61,61,55,60,69,72,73,55,67,71,54,53,24,71,63,74,68,45
"1702","Leverkusen","Bundesliga","Timothy Fosu-Mensah","NED","DF",19,6,1,7,6,6,3,18,78,17,96,96,18,5,70,96,96,9,3,65,85,82
"1703","Leverkusen","Bundesliga","Jeremie Frimpong","NED","DF,MF",93,94,89,98,95,96,68,84,22,96,20,62,95,91,85,71,89,95,89,87,73,89
"1704","Leverkusen","Bundesliga","Piero Hincapié","ECU","DF",77,89,93,93,89,87,89,84,32,95,20,70,93,82,89,77,97,89,84,80,67,32
"1705","Leverkusen","Bundesliga","Adam Hložek","CZE","FW,MF",73,51,26,55,51,58,15,18,88,33,52,51,60,48,73,69,56,54,49,63,61,28
"1707","Leverkusen","Bundesliga","Callum Hudson-Odoi","ENG","FW,MF",26,24,25,26,24,30,19,18,64,33,77,65,38,36,54,48,29,28,22,62,64,41
"1709","Leverkusen","Bundesliga","Odilon Kossonou","CIV","DF",55,60,58,64,60,61,72,77,64,21,70,78,84,55,90,88,96,74,59,82,76,74
"1714","Leverkusen","Bundesliga","Exequiel Palacios","ARG","MF",58,64,63,69,64,66,51,73,56,75,34,70,79,68,80,73,69,74,55,86,80,85
"1715","Leverkusen","Bundesliga","Paulinho","BRA","FW",4,1,3,1,1,6,2,18,32,10,59,29,5,5,54,12,6,1,2,51,9,2
"1718","Leverkusen","Bundesliga","Patrik Schick","CZE","FW",26,38,64,41,38,39,72,56,41,75,20,19,48,57,33,34,11,46,48,46,48,14
"1720","Leverkusen","Bundesliga","Daley Sinkgraven","NED","DF,MF",21,13,9,15,13,19,22,18,69,6,94,82,30,25,59,59,38,17,11,65,76,63
"1721","Leverkusen","Bundesliga","Jonathan Tah","GER","DF",90,90,79,94,90,90,85,96,50,13,20,62,92,95,54,54,5,90,89,71,62,7
"1722","Leverkusen","Bundesliga","Edmond Tapsoba","BFA","DF",90,97,99,100,97,96,94,99,12,82,20,59,96,96,76,64,7,96,92,87,72,96
"1723","Leverkusen","Bundesliga","Florian Wirtz","GER","FW,MF",35,44,60,48,44,43,68,52,56,87,20,66,62,42,80,80,78,56,32,84,85,89
"1724","Lille","Ligue 1","Benjamin André","FRA","MF",90,97,98,96,97,96,92,98,12,59,20,80,97,84,94,81,75,99,82,98,89,80
"1725","Lille","Ligue 1","Carlos Baleba","CMR","MF",38,18,7,18,18,22,29,18,88,5,89,92,30,10,76,89,75,25,11,75,89,57
"1726","Lille","Ligue 1","Jonathan Bamba","FRA","FW",90,94,93,94,94,95,81,93,22,63,20,80,96,91,88,75,20,98,85,95,84,16
"1727","Lille","Ligue 1","Rémy Cabella","FRA","MF,FW",81,88,87,88,89,87,85,81,41,87,34,82,92,65,94,84,82,97,66,99,95,97
"1731","Lille","Ligue 1","Jonathan David","CAN","FW",98,99,97,99,99,99,89,92,12,54,20,81,98,92,93,79,44,99,89,98,88,63
"1732","Lille","Ligue 1","Bafodé Diakité","FRA","DF",85,92,89,91,92,90,89,96,41,87,34,81,93,82,90,78,42,97,82,95,86,30
"1733","Lille","Ligue 1","Tiago Djaló","POR","DF",58,76,91,75,76,80,72,88,12,44,20,74,90,65,92,85,76,91,60,95,92,77
"1735","Lille","Ligue 1","José Fonte","POR","DF",77,90,95,90,90,91,85,98,12,17,45,72,89,77,86,74,20,96,82,94,84,16
"1736","Lille","Ligue 1","André Gomes","POR","MF",62,63,58,63,63,64,68,73,69,44,20,81,84,55,90,87,77,82,48,93,92,72
"1737","Lille","Ligue 1","Angel Gomes","ENG","MF",96,95,85,94,95,98,63,73,22,67,20,76,95,86,91,78,40,98,85,96,86,24
"1738","Lille","Ligue 1","Gabriel Gudmundsson","SWE","DF,FW",35,32,31,32,32,33,43,52,74,48,70,78,53,45,66,67,30,46,28,79,83,37
"1739","Lille","Ligue 1","Ismaily","BRA","DF",52,68,83,68,68,71,59,80,22,98,45,68,71,63,73,66,17,80,63,86,78,12
"1741","Lille","Ligue 1","Mohamed Lamine Bayo","GUI","FW",62,26,6,26,26,26,29,28,98,9,77,81,46,22,80,90,77,40,21,79,88,54
"1744","Lille","Ligue 1","Jonas Martin","FRA","MF",21,10,4,10,11,11,10,18,78,21,97,91,9,13,42,17,3,14,6,67,84,41
"1747","Lille","Ligue 1","Adam Ounas","ALG","FW",44,40,36,40,40,43,15,37,74,84,20,91,50,36,73,72,37,57,31,85,90,61
"1750","Lille","Ligue 1","Alexsandro Ribeiro","BRA","DF",44,60,81,59,60,55,94,80,50,94,92,80,76,65,78,72,33,79,52,90,88,54
"1751","Lille","Ligue 1","Alan Virginius","FRA","FW",29,10,1,9,10,6,19,18,91,17,85,53,18,16,54,39,12,18,6,74,98,87
"1752","Lille","Ligue 1","Timothy Weah","USA","DF,FW",70,66,54,65,66,64,68,67,78,59,34,85,75,48,87,81,60,82,45,93,91,68
"1753","Lille","Ligue 1","Yusuf Yazıcı","TUR","MF",4,6,36,6,6,15,12,18,12,3,34,65,18,19,48,18,4,8,13,40,5,0
"1754","Lille","Ligue 1","Leny Yoro","FRA","DF",24,31,50,31,31,33,81,56,50,33,95,95,60,34,84,91,82,48,26,81,88,55
"1755","Lille","Ligue 1","Akim Zedadka","ALG","DF,MF",12,14,26,13,14,19,51,37,41,9,73,72,30,16,70,85,63,26,14,73,91,61
"1756","Lille","Ligue 1","Edon Zhegrova","KVX","FW,DF",46,42,34,41,42,43,29,43,78,63,77,91,71,28,92,96,96,63,31,89,94,76
"1758","Liverpool","Premier League","Thiago Alcántara","ESP","MF",38,50,70,49,50,52,68,67,41,67,20,76,62,63,54,53,7,66,56,74,70,17
"1759","Liverpool","Premier League","Trent Alexander-Arnold","ENG","DF",99,98,87,97,98,99,81,95,32,24,34,79,99,94,96,86,74,100,95,96,86,91
"1761","Liverpool","Premier League","Stefan Bajcetic","ESP","MF",19,21,33,20,21,26,51,18,50,10,83,92,35,10,80,93,78,36,16,80,95,87
"1762","Liverpool","Premier League","Fabio Carvalho","POR","MF,FW",24,13,8,13,14,19,2,18,74,24,95,75,32,8,80,98,95,21,11,69,83,56
"1767","Liverpool","Premier League","Luis Díaz","COL","FW",35,40,50,39,40,43,43,52,56,72,20,87,73,31,92,97,94,60,31,87,93,85
"1769","Liverpool","Premier League","Harvey Elliott","ENG","MF,FW",85,63,36,61,63,64,29,48,91,54,64,73,85,55,91,88,68,83,68,84,79,35
"1770","Liverpool","Premier League","Fabinho","BRA","MF",98,94,77,91,94,95,68,90,50,59,20,79,98,84,95,87,76,97,91,91,80,23
"1771","Liverpool","Premier League","Roberto Firmino","BRA","FW,MF",58,49,34,48,49,49,32,43,85,54,20,72,73,48,86,86,58,65,53,76,73,24
"1772","Liverpool","Premier League","Cody Gakpo","NED","FW,MF",46,58,68,56,58,61,63,56,41,54,20,83,79,52,88,86,57,81,52,91,91,84
"1773","Liverpool","Premier League","Joe Gomez","ENG","DF",46,58,70,56,58,55,100,81,56,38,87,74,73,45,87,84,52,76,66,80,74,24
"1774","Liverpool","Premier League","Jordan Henderson","ENG","MF",96,78,50,75,78,77,51,70,85,59,20,80,94,79,92,86,57,93,81,90,81,44
"1775","Liverpool","Premier League","Curtis Jones","ENG","MF",38,42,48,40,42,46,51,37,56,33,64,87,64,42,82,83,49,63,42,83,85,61
"1776","Liverpool","Premier League","Diogo Jota","POR","FW,MF",49,46,37,44,46,46,43,37,78,54,20,87,66,52,76,74,28,67,48,84,84,58
"1777","Liverpool","Premier League","Naby Keïta","GUI","MF",12,11,18,11,12,15,5,18,50,63,45,56,9,10,48,28,5,14,8,63,75,35
"1779","Liverpool","Premier League","Ibrahima Konaté","FRA","DF",38,61,98,59,61,61,100,86,12,54,52,76,82,60,87,83,48,79,63,85,81,41
"1780","Liverpool","Premier League","Joël Matip","CMR","DF",26,44,85,43,44,46,85,70,22,79,92,50,60,55,63,61,12,61,44,80,80,40
"1782","Liverpool","Premier League","James Milner","ENG","MF,DF",81,37,9,36,37,30,47,43,100,24,52,82,50,34,76,77,35,59,36,84,89,73
"1783","Liverpool","Premier League","Darwin Núñez","URU","FW",73,66,48,64,66,66,51,52,78,48,20,85,84,60,88,82,47,88,72,87,82,46
"1784","Liverpool","Premier League","Alex Oxlade-Chamberlain","ENG","FW,MF",14,13,18,12,13,19,22,18,50,10,59,53,18,19,48,31,6,21,16,60,65,20
"1785","Liverpool","Premier League","Nathaniel Phillips","ENG","DF",1,1,13,0,1,6,9,18,12,2,93,90,5,2,59,59,18,5,0,65,100,99
"1787","Liverpool","Premier League","Andrew Robertson","SCO","DF",93,92,81,90,92,91,76,89,50,75,34,81,98,84,95,87,73,98,88,95,85,76
"1788","Liverpool","Premier League","Mohamed Salah","EGY","FW",100,100,99,100,100,100,92,98,12,72,20,78,100,95,97,86,97,100,97,97,85,100
"1789","Liverpool","Premier League","Kostas Tsimikas","GRE","DF",44,31,20,30,31,36,17,37,82,21,94,73,43,31,70,72,28,42,36,63,64,14
"1792","Lorient","Ligue 1","Laurent Abergel","FRA","MF",70,82,89,82,82,87,68,88,12,72,20,74,85,84,66,61,73,78,91,17,38,65
"1793","Lorient","Ligue 1","Adil Aouchiche","FRA","MF",19,9,4,9,9,6,32,18,78,33,89,17,12,13,48,24,19,9,6,59,67,89
"1796","Lorient","Ligue 1","Quentin Boisgard","FRA","MF",5,6,18,5,6,6,17,18,41,82,73,43,9,1,66,90,93,7,2,61,78,96
"1797","Lorient","Ligue 1","Igor Carioca","BRA","DF",10,18,61,18,18,22,76,37,22,28,80,38,14,13,54,46,43,15,15,51,45,69
"1798","Lorient","Ligue 1","Yoann Cathline","FRA","FW,MF",49,44,34,43,44,43,40,48,82,59,70,38,41,45,42,44,37,35,49,22,26,33
"1799","Lorient","Ligue 1","Stéphane Diarra","FRA","FW,MF",70,43,19,43,43,52,9,18,91,17,77,61,60,60,54,52,50,41,56,20,24,30
"1800","Lorient","Ligue 1","Bamba Dieng","SEN","FW",29,30,36,30,30,36,22,18,56,48,20,32,24,19,59,59,55,32,28,57,57,84
"1802","Lorient","Ligue 1","Romain Faivre","FRA","MF,FW",29,47,85,47,47,49,72,56,22,95,20,32,38,39,48,48,44,42,44,43,47,76
"1804","Lorient","Ligue 1","Bonke Innocent","NGA","MF",58,48,31,48,48,52,17,37,82,59,73,70,53,52,54,52,50,33,60,9,10,7
"1806","Lorient","Ligue 1","Gedeon Kalulu","COD","DF",70,86,97,86,87,87,89,95,12,67,20,65,88,90,59,59,62,79,96,6,25,14
"1808","Lorient","Ligue 1","Ibrahima Koné","MLI","FW",98,59,23,58,59,52,40,48,99,44,34,59,62,60,59,59,57,52,65,23,35,55
"1811","Lorient","Ligue 1","Théo Le Bris","FRA","MF,DF",62,54,39,53,54,52,47,56,85,59,34,66,58,60,48,50,45,49,65,18,28,37
"1815","Lorient","Ligue 1","Jean-Victor Makengo","FRA","MF",26,39,70,39,39,43,55,56,32,92,20,23,24,36,28,30,19,35,40,36,39,62
"1816","Lorient","Ligue 1","Vito Mannone","ITA","GK",38,62,100,62,63,61,100,86,12,100,77,29,55,65,33,43,30,50,75,9,20,16
"1817","Lorient","Ligue 1","Chrislain Matsima","FRA","DF,MF",8,8,19,8,8,11,100,37,41,10,77,74,12,13,48,22,16,3,14,29,1,1
"1818","Lorient","Ligue 1","Bamo Meïté","CIV","DF",32,56,100,56,57,55,100,81,12,100,80,31,53,60,38,44,34,52,64,25,35,56
"1819","Lorient","Ligue 1","Terem Moffi","NGA","FW",38,55,83,54,55,61,59,56,12,87,20,76,67,68,59,59,56,51,68,17,27,33
"1828","Lorient","Ligue 1","Julien Ponceau","FRA","MF",81,64,40,64,64,68,29,43,82,38,64,50,75,77,59,59,57,61,76,18,32,48
"1831","Lorient","Ligue 1","Darlin Yongwa","CMR","DF",26,32,45,32,32,33,72,52,56,44,98,29,27,36,33,29,21,28,32,36,36,56
"1832","Lyon","Ligue 1","Houssem Aouar","FRA","MF",32,21,13,21,21,26,5,18,78,33,80,84,27,16,66,71,39,23,18,59,60,32
"1834","Lyon","Ligue 1","Bradley Barcola","FRA","FW,MF",58,53,42,53,53,52,68,60,82,33,64,78,80,42,92,93,94,64,59,65,62,29
"1835","Lyon","Ligue 1","Jérôme Boateng","GER","DF",10,15,44,15,15,22,29,28,22,10,91,93,24,8,73,89,74,15,12,57,58,31
"1837","Lyon","Ligue 1","Maxence Caqueret","FRA","MF",96,94,81,93,94,95,72,86,41,82,34,75,95,87,90,77,42,93,93,72,62,6
"1838","Lyon","Ligue 1","Rayan Cherki","FRA","MF,FW",90,69,42,68,69,68,59,67,88,24,59,70,86,52,92,89,87,84,69,85,78,79
"1839","Lyon","Ligue 1","Damien Da Silva","FRA","DF",10,13,33,13,13,15,40,37,41,79,85,76,22,16,59,59,24,22,9,73,92,92
"1840","Lyon","Ligue 1","Moussa Dembélé","FRA","FW,MF",52,35,19,35,35,33,29,43,93,44,83,54,35,31,59,59,18,42,31,72,72,57
"1842","Lyon","Ligue 1","Sinaly Diomande","CIV","DF",55,74,93,73,74,74,89,88,22,67,70,74,87,77,84,75,36,82,82,62,59,15
"1843","Lyon","Ligue 1","Romain Faivre","FRA","MF",16,12,10,12,12,15,17,28,64,17,64,70,30,13,73,93,86,22,7,75,98,98
"1844","Lyon","Ligue 1","Malo Gusto","FRA","DF",46,62,81,62,62,66,72,75,22,7,52,62,73,71,66,63,15,79,58,87,83,88
"1845","Lyon","Ligue 1","Henrique","BRA","DF,FW",10,14,37,14,14,15,100,43,41,54,98,99,32,13,76,94,88,19,17,55,52,24
"1846","Lyon","Ligue 1","Jefferson","BRA","FW",12,14,28,14,14,15,47,28,50,67,59,90,38,10,82,99,98,28,12,77,97,97
"1848","Lyon","Ligue 1","Sael Kumbedi","FRA","DF",41,49,61,49,49,49,81,70,56,48,64,85,73,39,89,91,87,60,53,69,66,39
"1850","Lyon","Ligue 1","Alexandre Lacazette","FRA","FW",93,97,96,97,97,98,81,97,12,38,20,76,98,88,94,81,82,97,92,90,77,97
"1852","Lyon","Ligue 1","Johann Lepenant","FRA","MF",77,73,60,72,73,71,59,73,74,72,70,79,76,68,76,67,19,80,74,76,68,39
"1855","Lyon","Ligue 1","Castello Lukeba","FRA","DF",90,98,100,98,98,96,100,99,12,28,34,74,97,89,92,78,47,97,94,87,72,76
"1856","Lyon","Ligue 1","Thiago Mendes","BRA","MF,DF",77,76,64,75,76,74,76,80,69,44,70,70,79,68,80,70,25,80,76,72,64,26
"1858","Lyon","Ligue 1","Jeff Reine-Adélaïde","FRA","MF",26,13,5,13,13,6,2,18,88,54,52,32,22,16,59,59,24,19,13,63,72,56
"1859","Lyon","Ligue 1","Rémy Riou","FRA","GK",10,24,98,24,24,26,100,56,12,99,100,83,35,22,70,76,46,32,22,70,76,62
"1860","Lyon","Ligue 1","Amin Sarr","SWE","FW",21,21,26,21,21,26,10,28,56,63,52,82,32,28,59,59,22,27,26,50,47,16
"1863","Lyon","Ligue 1","Tetê","BRA","FW,MF",35,45,61,45,45,52,47,37,32,9,45,36,53,39,73,71,35,51,41,70,68,45
"1864","Lyon","Ligue 1","Karl Toko Ekambi","CMR","FW,MF",41,53,71,53,53,55,72,64,41,72,20,52,64,52,73,68,30,67,52,79,75,64
"1865","Lyon","Ligue 1","Corentin Tolisso","FRA","MF",73,74,66,74,75,80,43,73,50,75,20,75,92,75,91,84,76,86,78,81,72,58
"1873","M'Gladbach","Bundesliga","Marvin Friedrich","GER","DF",52,50,42,53,50,49,100,77,78,5,83,51,71,77,48,49,47,60,67,35,41,27
"1875","M'Gladbach","Bundesliga","Jonas Hofmann","GER","FW,MF",81,94,98,98,94,93,94,84,12,54,20,57,91,96,38,50,33,95,97,55,56,72
"1876","M'Gladbach","Bundesliga","Ko Itakura","JPN","DF",55,75,95,80,75,74,92,90,22,63,20,44,75,79,54,53,58,83,83,61,58,69
"1878","M'Gladbach","Bundesliga","Tony Jantschke","GER","DF,MF",12,2,0,2,2,6,55,18,64,1,94,90,12,10,54,18,15,3,5,47,4,2
"1880","M'Gladbach","Bundesliga","Christoph Kramer","GER","MF",73,82,83,87,82,87,63,86,22,10,45,51,87,90,54,54,61,89,90,64,59,77
"1881","M'Gladbach","Bundesliga","Stefan Lainer","AUT","DF",35,33,33,36,34,36,72,37,69,6,87,62,38,55,22,19,10,45,44,54,53,52
"1883","M'Gladbach","Bundesliga","Nathan N'Goumou","FRA","FW",44,28,15,30,28,30,32,28,88,17,83,18,27,34,38,32,26,27,39,25,16,6
"1884","M'Gladbach","Bundesliga","Luca Netz","GER","DF",44,28,15,31,29,30,81,43,88,5,87,51,43,45,48,44,40,42,42,48,47,39
"1885","M'Gladbach","Bundesliga","Florian Neuhaus","GER","MF",52,56,54,59,56,58,55,52,64,38,45,37,55,55,54,53,54,67,59,72,67,82
"1888","M'Gladbach","Bundesliga","Alassane Pléa","FRA","FW",73,68,54,73,68,68,59,56,74,44,34,46,71,73,59,59,62,74,67,74,66,86
"1890","M'Gladbach","Bundesliga","Joe Scally","USA","DF",70,81,87,87,81,81,85,81,32,24,70,50,88,86,73,64,90,85,89,50,54,53
"1891","M'Gladbach","Bundesliga","Tobias Sippel","GER","GK",8,20,97,22,20,22,100,52,12,99,87,10,18,34,25,9,6,18,21,43,35,26
"1893","M'Gladbach","Bundesliga","Lars Stindl","GER","FW,MF",73,67,52,71,67,68,47,28,74,48,45,44,80,79,70,64,80,75,80,46,52,45
"1895","M'Gladbach","Bundesliga","Marcus Thuram","FRA","FW",77,91,96,94,91,90,92,92,22,48,34,53,90,92,63,60,84,91,93,63,58,83
"1896","M'Gladbach","Bundesliga","Julian Weigl","GER","MF",52,72,93,77,72,71,92,88,22,38,34,48,87,86,70,64,81,79,86,34,47,29
"1897","M'Gladbach","Bundesliga","Hannes Wolf","AUT","FW",38,17,6,19,18,19,15,18,91,13,77,57,27,36,33,16,10,19,28,29,10,4
"1898","Mainz 05","Bundesliga","Ludovic Ajorque","FRA","FW,MF",35,49,71,52,49,55,55,43,22,21,20,62,64,60,63,61,61,53,56,43,47,59
"1899","Mainz 05","Bundesliga","Aymen Barkok","MAR","MF",52,24,6,26,24,15,43,18,98,33,83,59,38,31,63,64,64,30,27,56,56,70
"1900","Mainz 05","Bundesliga","Leandro Barreiro Martins","LUX","MF",81,80,68,84,80,81,63,80,56,48,45,57,90,87,76,66,88,83,92,21,40,33
"1901","Mainz 05","Bundesliga","Stefan Bell","GER","DF",77,87,89,92,87,84,92,93,41,84,45,58,91,91,70,63,82,87,94,25,44,53
"1904","Mainz 05","Bundesliga","Jonathan Burkardt","GER","MF,FW",19,21,33,23,21,30,6,18,41,82,20,42,24,34,33,20,12,25,25,47,42,49
"1905","Mainz 05","Bundesliga","Anthony Caci","FRA","DF",81,77,63,81,77,77,72,80,69,24,52,48,87,89,59,59,56,81,88,35,47,65
"1906","Mainz 05","Bundesliga","Danny da Costa","GER","DF",52,49,42,52,49,52,40,52,74,48,59,54,60,60,54,53,48,45,56,27,35,31
"1908","Mainz 05","Bundesliga","Edimilson Fernandes","SUI","DF",85,88,81,93,89,90,76,86,41,44,45,58,93,95,66,61,77,89,94,39,50,85
"1910","Mainz 05","Bundesliga","Angelo Fulgini","FRA","MF",32,21,13,23,21,22,4,18,82,54,45,42,18,31,28,15,8,18,26,31,19,15
"1912","Mainz 05","Bundesliga","Alexander Hack","GER","DF",41,46,52,49,46,52,47,70,50,9,85,72,50,52,48,48,41,47,48,48,50,64
"1914","Mainz 05","Bundesliga","Marcus Ingvartsen","DEN","FW,MF",70,52,31,56,52,58,17,28,85,44,45,52,67,50,80,77,90,53,54,52,54,72
"1915","Mainz 05","Bundesliga","Lee Jae-sung","KOR","MF",93,72,45,77,72,80,19,37,78,67,20,54,85,83,70,64,74,72,79,38,49,66
"1916","Mainz 05","Bundesliga","Dominik Kohr","GER","MF",77,84,81,89,84,87,72,92,32,33,34,59,88,89,63,60,66,84,92,29,45,60
"1918","Mainz 05","Bundesliga","Maxim Leitsch","GER","DF",14,27,77,29,27,30,94,56,22,54,83,68,30,36,38,31,21,26,27,45,42,49
"1920","Mainz 05","Bundesliga","Aarón Martín","ESP","DF",70,70,63,75,70,68,72,80,69,59,70,48,75,84,33,45,26,70,86,17,33,19
"1922","Mainz 05","Bundesliga","Karim Onisiwo","AUT","FW,MF",81,91,93,95,91,90,89,86,32,88,20,42,91,97,33,47,14,89,97,18,40,24
"1925","Mainz 05","Bundesliga","Anton Stach","GER","MF",77,78,68,82,78,74,72,67,69,88,34,58,84,87,54,54,50,78,86,33,47,62
"1928","Mainz 05","Bundesliga","Silvan Widmer","SUI","DF",62,65,61,70,66,66,63,70,64,48,20,56,73,77,54,53,49,71,72,59,57,84
"1930","Mallorca","La Liga","Amath","SEN","MF,FW",70,49,26,49,49,46,19,43,95,72,52,48,41,39,54,53,66,42,39,56,56,85
"1931","Mallorca","La Liga","Josep Antoni Gayá","ESP","DF,MF",1,2,34,2,2,6,100,28,12,5,95,65,2,5,48,3,4,0,3,42,0,0
