"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Touches_Touches","Def.Pen_Touches","Def.3rd_Touches","Mid.3rd_Touches","Att.3rd_Touches","Att.Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1603","Manchester City","Premier League","İlkay Gündoğan","GER","MF",82,91,58,66,93,94,92,91,79,74,30,79,53,90,88,86,87,89,75,73,87,96,87
"1604","Manchester City","Premier League","Erling Haaland","NOR","FW",93,53,46,26,49,87,100,53,71,63,23,79,82,50,48,43,75,45,95,90,86,62,91
"1605","Manchester City","Premier League","Aymeric Laporte","ESP","DF",41,66,81,74,73,54,40,66,18,26,86,22,34,74,76,89,71,90,28,17,8,76,32
"1606","Manchester City","Premier League","Rico Lewis","ENG","DF,MF",38,52,53,51,62,59,38,52,47,54,75,36,17,59,56,62,61,71,59,30,65,62,47
"1607","Manchester City","Premier League","Riyad Mahrez","ALG","FW,MF",70,80,40,45,69,99,95,80,92,86,23,88,36,85,86,82,95,91,99,80,87,87,98
"1609","Manchester City","Premier League","Cole Palmer","ENG","MF,FW",20,23,24,16,21,49,68,23,63,70,73,53,23,27,34,38,69,39,89,46,50,28,56
"1611","Manchester City","Premier League","Kalvin Phillips","ENG","MF",18,30,43,33,43,26,24,30,8,18,100,10,10,33,30,25,11,26,28,13,16,36,13
"1612","Manchester City","Premier League","Rodri","ESP","MF",95,100,87,92,100,94,86,100,75,86,86,57,17,100,99,99,95,98,59,61,78,100,55
"1613","Manchester City","Premier League","Bernardo Silva","POR","MF,FW",78,90,58,69,86,98,93,90,89,89,45,90,58,91,95,94,97,98,96,75,90,94,95
"1614","Manchester City","Premier League","John Stones","ENG","DF,MF",68,88,85,86,92,61,63,88,39,46,80,22,11,90,92,92,68,80,42,32,33,93,52
"1615","Manchester City","Premier League","Kyle Walker","ENG","DF",72,94,72,81,97,82,44,94,55,68,86,42,16,93,88,89,86,87,52,46,43,97,73
"1616","Manchester Utd","Premier League","Antony","BRA","FW",67,68,36,51,55,95,92,68,93,90,32,95,67,77,83,86,97,96,96,81,62,77,94
"1617","Manchester Utd","Premier League","Donny van de Beek","NED","MF",11,9,10,4,9,25,36,9,18,26,86,22,34,9,6,9,15,23,28,13,22,10,42
"1618","Manchester Utd","Premier League","Casemiro","BRA","MF",76,90,86,86,93,73,59,90,56,57,48,57,46,82,61,62,48,60,42,56,67,89,52
"1619","Manchester Utd","Premier League","Diogo Dalot","POR","DF",77,88,88,88,83,84,73,88,73,81,80,53,16,83,79,80,83,80,85,56,38,85,77
"1620","Manchester Utd","Premier League","Anthony Elanga","SWE","FW",22,20,19,19,19,41,64,20,49,42,22,53,61,19,21,21,44,23,75,46,47,21,48
"1621","Manchester Utd","Premier League","Christian Eriksen","DEN","MF",74,87,66,68,91,89,70,87,52,54,52,60,78,87,70,71,63,71,59,67,78,91,69
"1622","Manchester Utd","Premier League","Bruno Fernandes","POR","MF,FW",99,98,76,78,93,100,98,98,90,91,55,89,51,97,92,93,97,98,95,86,95,98,98
"1623","Manchester Utd","Premier League","Fred","BRA","MF",50,65,63,67,68,72,72,65,71,66,29,75,62,61,50,51,39,60,59,70,72,64,61
"1624","Manchester Utd","Premier League","Alejandro Garnacho","ESP","FW,MF",27,27,16,21,21,59,85,27,80,66,13,88,88,33,43,47,73,75,95,71,67,31,77
"1626","Manchester Utd","Premier League","Victor Lindelöf","SWE","DF",54,68,90,87,69,20,22,68,18,26,86,22,34,70,65,66,20,26,28,9,22,72,9
"1627","Manchester Utd","Premier League","Harry Maguire","ENG","DF",34,49,78,76,49,18,32,49,18,26,86,22,34,51,52,64,34,33,42,9,8,50,19
"1628","Manchester Utd","Premier League","Kobbie Mainoo","ENG","MF",1,2,6,3,2,5,17,2,8,7,7,22,100,1,3,5,15,7,28,4,8,1,9
"1629","Manchester Utd","Premier League","Tyrell Malacia","NED","DF",55,64,71,78,60,63,46,64,55,46,17,70,93,56,49,51,56,58,59,54,50,59,52
"1630","Manchester Utd","Premier League","Anthony Martial","FRA","FW",41,36,33,22,33,68,80,36,64,70,70,60,35,40,36,35,54,52,78,78,79,44,77
"1631","Manchester Utd","Premier League","Lisandro Martínez","ARG","DF",76,91,97,96,88,30,36,91,51,70,93,10,10,90,86,90,44,58,28,40,54,89,13
"1632","Manchester Utd","Premier League","Scott McTominay","SCO","MF",47,46,77,62,48,48,60,46,64,68,65,60,35,43,41,43,58,58,59,67,78,43,40
"1633","Manchester Utd","Premier League","Facundo Pellistri","URU","FW,MF",6,4,6,9,4,7,10,4,18,26,86,22,34,3,6,5,11,7,28,13,16,4,13
"1634","Manchester Utd","Premier League","Marcus Rashford","ENG","FW",95,73,50,44,64,98,99,73,99,98,32,100,78,77,84,82,96,93,99,98,96,82,98
"1635","Manchester Utd","Premier League","Cristiano Ronaldo","POR","FW",25,21,29,18,22,42,68,21,36,37,47,36,34,18,17,22,37,33,59,30,27,24,52
"1636","Manchester Utd","Premier League","Marcel Sabitzer","AUT","MF",29,32,46,36,38,43,53,32,18,18,22,22,34,31,24,27,34,33,28,35,38,33,47
"1637","Manchester Utd","Premier League","Jadon Sancho","ENG","FW,MF",64,63,43,48,55,92,95,63,93,92,41,95,75,69,74,80,96,85,98,90,79,70,94
"1638","Manchester Utd","Premier League","Luke Shaw","ENG","DF",88,98,92,94,96,90,56,98,77,70,26,78,54,95,93,93,87,89,59,67,50,96,73
"1639","Manchester Utd","Premier League","Raphaël Varane","FRA","DF",70,76,90,89,78,28,50,76,39,46,80,42,46,79,87,90,53,56,28,13,16,78,19
"1640","Manchester Utd","Premier League","Aaron Wan-Bissaka","ENG","DF",56,66,78,75,61,72,77,66,73,76,55,79,75,60,57,61,80,71,65,48,57,63,68
"1641","Manchester Utd","Premier League","Wout Weghorst","NED","FW,MF",35,26,43,28,30,41,61,26,43,37,22,53,85,25,17,14,20,36,28,50,62,28,57
"1642","Marseille","Ligue 1","Eric Bailly","CIV","DF",25,29,63,55,33,13,34,29,22,26,65,29,74,31,35,35,20,18,28,32,27,24,19
"1643","Marseille","Ligue 1","Cédric Bakambu","COD","MF",6,5,6,7,7,9,17,5,13,7,7,29,100,6,6,7,11,23,42,13,16,5,19
"1644","Marseille","Ligue 1","Leonardo Balerdi","ARG","DF",88,93,94,94,93,43,44,93,45,54,80,42,27,96,97,97,49,64,28,63,22,91,40
"1648","Marseille","Ligue 1","Jonathan Clauss","FRA","DF",87,88,72,73,83,97,96,88,88,91,65,88,54,93,93,92,95,93,93,86,70,87,98
"1649","Marseille","Ligue 1","Bamba Dieng","SEN","FW,MF",13,9,10,5,13,19,44,9,18,26,86,22,34,11,12,10,26,13,52,30,33,11,45
"1650","Marseille","Ligue 1","Gerson","BRA","MF",21,22,19,22,25,42,36,22,32,26,15,36,53,30,31,28,37,36,59,48,70,27,49
"1651","Marseille","Ligue 1","Samuel Gigot","FRA","DF",69,80,91,88,83,43,66,80,36,37,47,42,57,86,90,93,73,77,28,40,27,78,40
"1652","Marseille","Ligue 1","Mattéo Guendouzi","FRA","MF",73,80,58,59,86,87,86,79,65,66,47,65,47,91,95,95,84,94,78,67,67,86,81
"1653","Marseille","Ligue 1","Pape Gueye","SEN","MF,DF",24,32,30,37,43,34,27,32,32,18,8,42,84,40,43,47,37,26,42,30,43,35,34
"1654","Marseille","Ligue 1","Amine Harit","MAR","MF,FW",25,29,33,23,29,56,66,29,74,68,26,79,74,39,45,44,56,52,80,56,74,35,63
"1655","Marseille","Ligue 1","Luis Javier Suárez","COL","FW",18,14,26,12,16,28,53,14,22,37,100,10,10,15,16,16,26,30,28,30,16,14,38
"1656","Marseille","Ligue 1","Issa Kaboré","BFA","DF",39,48,55,54,46,68,70,48,79,77,40,81,55,54,60,59,71,69,80,76,62,48,83
"1657","Marseille","Ligue 1","Sead Kolašinac","BIH","DF",76,83,75,79,86,75,78,83,43,32,12,53,85,91,91,93,84,85,72,67,43,83,76
"1659","Marseille","Ligue 1","Ruslan Malinovskyi","UKR","MF,FW",47,48,36,38,50,74,57,48,78,87,82,70,28,58,66,65,74,78,69,74,78,52,73
"1660","Marseille","Ligue 1","Chancel Mbemba","COD","DF",92,93,91,90,94,76,77,93,60,70,80,42,14,97,97,97,82,96,82,63,57,93,61
"1661","Marseille","Ligue 1","Arkadiusz Milik","POL","FW",9,7,16,6,10,11,10,7,8,7,7,22,100,8,7,6,11,23,28,9,16,8,29
"1662","Marseille","Ligue 1","Azzedine Ounahi","MAR","MF,FW",9,13,6,8,17,24,17,13,34,46,91,22,12,18,21,20,29,30,42,13,38,16,27
"1663","Marseille","Ligue 1","Dimitri Payet","FRA","MF,FW",36,45,24,30,42,77,74,45,71,77,73,65,35,56,57,57,61,60,75,50,54,51,76
"1664","Marseille","Ligue 1","Valentin Rongier","FRA","MF",97,98,81,85,99,91,75,98,81,89,82,75,34,99,100,99,89,93,80,76,89,98,72
"1665","Marseille","Ligue 1","Alexis Sánchez","CHI","FW,MF",89,73,26,36,70,96,98,73,94,95,67,91,42,85,83,62,80,71,92,98,99,82,97
"1666","Marseille","Ligue 1","Nuno Tavares","POR","DF,MF",81,90,67,76,82,98,92,90,99,98,32,100,78,93,98,96,97,98,92,97,99,88,98
"1667","Marseille","Ligue 1","Souleymane Touré","FRA","DF",7,7,24,17,10,3,6,7,8,7,7,22,100,7,7,5,11,7,28,9,8,7,9
"1668","Marseille","Ligue 1","Cengiz Ünder","TUR","MF,DF",84,80,46,52,71,98,97,80,96,93,32,97,78,89,92,83,92,91,96,94,89,82,99
"1669","Marseille","Ligue 1","Jordan Veretout","FRA","MF",93,97,82,79,99,90,69,97,54,66,86,46,23,99,99,99,88,95,72,73,65,98,72
"1670","Marseille","Ligue 1","Vitinha","POR","FW",22,19,24,12,20,41,75,19,41,42,49,50,80,22,20,16,20,33,52,56,50,19,56
"1671","Milan","Serie A","Yacine Adli","FRA","MF,FW",10,11,10,12,14,23,14,11,29,37,86,29,34,12,13,15,31,30,28,17,38,12,27
"1672","Milan","Serie A","Tiemoué Bakayoko","FRA","MF",4,5,16,13,6,3,6,5,18,18,22,29,92,4,5,6,6,13,28,9,16,4,9
"1673","Milan","Serie A","Fodé Ballo-Touré","SEN","DF",25,30,26,39,33,43,32,30,49,42,22,60,88,24,25,29,42,36,28,26,43,26,51
"1674","Milan","Serie A","Ismaël Bennacer","ALG","MF",73,88,57,71,95,81,34,88,83,88,71,70,21,87,86,77,71,78,65,86,82,88,62
"1675","Milan","Serie A","Davide Calabria","ITA","DF",61,80,73,79,83,72,44,80,47,32,10,57,84,75,66,74,65,69,52,48,43,78,73
"1676","Milan","Serie A","Charles De Ketelaere","BEL","MF,FW",45,41,33,29,42,67,85,41,86,93,77,76,23,42,49,54,81,73,87,68,89,42,70
"1677","Milan","Serie A","Sergiño Dest","USA","DF",19,23,26,38,26,31,17,23,54,54,47,60,74,22,26,31,42,23,28,17,38,21,33
"1678","Milan","Serie A","Brahim Díaz","ESP","MF,FW",69,62,21,33,71,84,86,62,94,95,51,95,60,71,80,83,95,97,90,96,97,71,84
"1679","Milan","Serie A","Alessandro Florenzi","ITA","DF",13,19,16,26,20,33,34,19,8,7,7,22,100,18,13,12,11,13,28,17,8,18,40
"1681","Milan","Serie A","Olivier Giroud","FRA","FW",74,54,55,32,54,83,99,53,47,50,65,50,53,44,27,26,44,45,75,95,70,62,91
"1682","Milan","Serie A","Theo Hernández","FRA","DF",90,94,76,83,93,93,86,94,90,79,15,93,75,91,96,98,98,99,89,87,78,91,89
"1683","Milan","Serie A","Zlatan Ibrahimović","SWE","FW",10,9,16,6,11,20,27,9,18,7,7,29,92,9,6,6,6,13,42,23,22,10,30
"1684","Milan","Serie A","Pierre Kalulu","FRA","DF",87,95,87,95,95,55,50,95,54,60,72,46,23,95,96,97,87,72,28,68,38,95,58
"1686","Milan","Serie A","Rade Krunić","BIH","MF",60,68,66,68,79,53,59,68,64,79,89,42,13,68,69,73,71,73,52,38,50,68,43
"1688","Milan","Serie A","Rafael Leão","POR","FW,MF",81,71,33,33,67,96,98,71,100,99,50,100,55,78,95,95,99,100,100,96,94,79,97
"1690","Milan","Serie A","Junior Messias","BRA","FW,DF",55,52,58,48,52,75,82,52,89,92,66,81,25,53,62,68,82,87,90,76,67,54,87
"1691","Milan","Serie A","Divock Origi","BEL","FW",42,29,40,24,28,57,80,29,72,72,49,60,22,30,37,40,64,62,87,83,85,32,75
"1692","Milan","Serie A","Tommaso Pobega","ITA","MF",37,38,41,45,46,44,48,38,26,26,36,36,88,31,32,33,34,50,28,38,43,37,43
"1693","Milan","Serie A","Ante Rebić","CRO","FW,MF",41,35,21,16,28,72,84,36,70,72,54,73,58,36,34,28,53,45,69,70,70,41,79
"1694","Milan","Serie A","Alexis Saelemaekers","BEL","FW,DF",55,57,38,45,54,84,80,57,91,90,45,91,55,58,66,67,87,69,89,82,80,60,90
"1696","Milan","Serie A","Malick Thiaw","GER","DF",50,68,85,85,73,23,44,68,22,18,12,29,74,71,64,70,29,45,28,20,33,71,13
"1697","Milan","Serie A","Fikayo Tomori","ENG","DF",90,95,95,97,94,31,42,95,29,32,65,22,14,93,91,91,63,33,28,35,27,94,30
"1698","Milan","Serie A","Sandro Tonali","ITA","MF",89,89,68,75,93,89,68,89,59,57,37,63,59,84,88,87,90,87,52,85,54,88,74
"1699","Milan","Serie A","Aster Vranckx","BEL","MF",15,17,6,17,24,16,19,17,32,32,43,36,53,19,18,15,15,13,42,20,50,19,22
"1700","Monaco","Ligue 1","Ruben Aguilar","FRA","DF",44,59,64,61,62,71,54,59,43,46,65,46,50,64,62,59,63,67,52,43,27,56,70
"1701","Monaco","Ligue 1","Maghnes Akliouche","FRA","MF,FW",20,20,19,17,20,40,40,20,43,42,39,53,85,25,25,24,31,23,42,32,43,22,54
"1702","Monaco","Ligue 1","Benoît Badiashile","FRA","DF",36,43,80,65,53,10,27,43,8,7,7,22,100,50,49,54,20,23,42,17,8,42,5
"1703","Monaco","Ligue 1","Eliesse Ben Seghir","FRA","FW,MF",41,42,6,25,46,70,75,42,73,70,36,70,39,52,61,55,71,76,78,79,81,48,78
"1704","Monaco","Ligue 1","Wissam Ben Yedder","FRA","FW",73,53,6,16,52,87,98,53,82,83,50,85,64,65,66,58,83,80,95,80,91,61,95
"1705","Monaco","Ligue 1","Myron Boadu","NED","FW",18,11,10,7,13,28,57,11,22,18,12,36,94,13,13,13,26,13,59,54,47,13,43
"1706","Monaco","Ligue 1","Mohamed Camara","MLI","MF",76,83,64,74,93,61,24,83,82,83,50,75,28,92,91,87,68,76,42,80,86,87,39
"1707","Monaco","Ligue 1","Krépin Diatta","SEN","MF,FW",75,65,38,42,57,93,92,65,88,91,67,79,25,76,81,77,95,93,95,87,79,70,98
"1708","Monaco","Ligue 1","Edan Diop","FRA","DF,MF",12,16,13,14,17,33,38,16,34,32,29,46,89,18,19,20,29,45,28,17,27,16,47
"1709","Monaco","Ligue 1","Sofiane Diop","FRA","MF",6,7,6,1,7,20,22,7,26,18,10,36,88,8,10,12,26,30,59,17,27,7,30
"1710","Monaco","Ligue 1","Axel Disasi","FRA","DF",99,97,95,94,98,52,80,97,68,81,88,57,23,98,100,100,91,90,69,52,72,96,38
"1711","Monaco","Ligue 1","Breel Embolo","SUI","FW",68,49,48,26,49,81,93,49,92,91,44,94,66,58,59,46,63,75,87,96,96,57,91
"1712","Monaco","Ligue 1","Youssouf Fofana","FRA","MF",96,94,73,75,98,88,71,94,95,96,65,95,56,98,99,98,95,99,80,89,95,95,71
"1713","Monaco","Ligue 1","Aleksandr Golovin","RUS","MF,FW",85,80,50,59,75,96,92,80,83,88,71,73,25,87,94,93,97,96,95,89,91,80,97
"1714","Monaco","Ligue 1","Ismail Jakobs","SEN","DF,FW",46,53,52,53,51,74,75,53,43,42,39,50,74,57,63,60,78,79,78,54,47,54,84
"1715","Monaco","Ligue 1","Jean Lucas","BRA","MF",17,19,29,21,28,18,22,19,47,57,82,36,17,24,29,28,26,33,42,17,16,20,24
"1716","Monaco","Ligue 1","Soungoutou Magassa","FRA","MF",7,7,10,11,11,5,6,7,13,18,65,22,74,7,6,7,6,13,28,9,8,6,9
"1717","Monaco","Ligue 1","Guillermo Maripán","CHI","DF",75,79,92,90,82,19,60,79,29,18,8,42,92,86,81,79,26,30,28,35,43,78,5
"1718","Monaco","Ligue 1","Gelson Martins","POR","MF,FW",19,21,16,21,19,46,56,21,45,37,16,57,88,26,30,33,49,42,72,38,47,23,60
"1719","Monaco","Ligue 1","Eliot Matazo","BEL","MF",48,45,57,51,61,37,10,45,51,37,12,60,82,52,51,47,26,52,28,35,62,44,30
"1720","Monaco","Ligue 1","Chrislain Matsima","FRA","DF",22,25,58,44,29,21,24,25,8,18,100,10,10,28,24,20,15,18,28,4,16,22,29
"1721","Monaco","Ligue 1","Takumi Minamino","JPN","MF,FW",30,29,26,25,29,56,75,29,52,54,52,60,78,35,41,38,65,50,84,71,57,30,67
"1723","Monaco","Ligue 1","Malang Sarr","FRA","DF",32,44,71,62,57,12,10,44,22,26,65,29,74,54,57,69,26,36,52,20,22,48,13
"1724","Monaco","Ligue 1","Caio Henrique Oliveira Silva","BRA","DF",93,96,85,88,94,93,71,96,72,79,75,57,18,96,97,97,87,91,80,70,57,91,88
"1725","Monaco","Ligue 1","Vanderson","BRA","DF,MF",77,87,73,75,84,93,81,87,89,87,37,91,62,90,91,87,86,85,80,81,80,82,93
"1726","Monaco","Ligue 1","Kevin Volland","GER","FW,MF",29,24,13,12,27,48,72,24,22,18,12,36,94,31,30,21,29,33,69,58,47,29,66
"1728","Montpellier","Ligue 1","Joris Chotard","FRA","MF",82,75,84,79,83,53,38,75,64,68,65,60,35,81,75,64,34,52,52,60,57,70,47
"1729","Montpellier","Ligue 1","Nicolas Cozza","FRA","DF",50,53,76,70,54,48,51,53,49,42,22,57,78,53,59,61,58,58,59,56,33,47,52
"1731","Montpellier","Ligue 1","Sepe Elye Wahi","FRA","FW",84,50,21,25,50,81,96,50,92,89,30,94,64,59,72,62,88,85,97,98,97,57,95
"1732","Montpellier","Ligue 1","Maxime Estève","FRA","DF",60,60,89,84,60,16,38,60,29,37,86,29,34,64,63,68,37,26,28,20,33,54,9
"1733","Montpellier","Ligue 1","Khalil Fayad","FRA","MF",32,36,34,44,46,34,22,36,51,54,65,42,21,43,44,39,37,50,42,50,47,36,32
"1734","Montpellier","Ligue 1","Cheikh Faye","SEN","FW",4,3,6,2,5,5,10,3,8,7,7,22,100,3,3,1,6,7,28,13,27,3,16
"1735","Montpellier","Ligue 1","Jordan Ferri","FRA","MF",91,97,73,86,99,76,34,97,85,79,26,83,44,99,99,97,77,91,52,86,96,97,57
"1736","Montpellier","Ligue 1","Valère Germain","FRA","FW,MF",30,27,34,22,29,47,69,27,13,18,65,22,74,27,23,15,26,36,42,61,54,27,57
"1738","Montpellier","Ligue 1","Christopher Jullien","FRA","DF",89,77,95,92,74,23,67,77,18,32,100,10,10,81,77,74,15,26,42,50,33,72,24
"1740","Montpellier","Ligue 1","Wahbi Khazri","TUN","FW,MF",62,51,51,44,56,71,86,51,88,89,50,86,43,59,70,66,79,60,93,89,89,52,79
"1741","Montpellier","Ligue 1","Boubakar Kouyaté","MLI","DF",50,55,87,81,54,17,54,55,22,32,91,10,10,59,65,66,20,23,42,17,8,51,9
"1742","Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK",61,48,99,90,3,2,6,48,8,18,100,10,10,49,53,66,6,7,28,4,8,35,5
"1743","Montpellier","Ligue 1","Léo Leroy","FRA","MF",46,48,51,58,58,45,48,48,67,63,33,73,74,53,54,54,48,56,59,68,67,45,46
"1744","Montpellier","Ligue 1","Béni Makouana","CGO","FW,MF",13,9,13,7,10,20,36,9,36,26,10,53,94,10,16,16,37,26,28,20,38,9,38
"1745","Montpellier","Ligue 1","Faitout Maouassa","FRA","FW,DF",69,60,58,63,58,77,75,60,88,86,36,92,75,62,71,70,77,87,85,76,80,55,83
"1746","Montpellier","Ligue 1","Stephy Mavididi","ENG","FW",50,41,41,39,41,65,80,41,92,91,41,94,74,48,60,54,72,84,80,83,91,42,78
"1748","Montpellier","Ligue 1","Arnaud Nordin","FRA","FW",81,60,40,48,58,87,94,60,96,95,32,91,27,74,86,86,98,95,97,94,95,67,94
"1749","Montpellier","Ligue 1","Jonas Omlin","SUI","GK",47,36,98,81,1,2,6,36,8,7,7,22,100,41,43,51,6,7,28,4,8,24,5
"1750","Montpellier","Ligue 1","Falaye Sacko","MLI","DF",86,82,89,85,80,75,63,82,74,76,52,75,50,85,90,88,84,83,69,78,59,75,71
"1751","Montpellier","Ligue 1","Théo Sainte-Luce","FRA","DF",22,25,46,37,29,31,24,25,41,50,82,42,38,27,26,26,20,36,42,30,33,24,52
"1752","Montpellier","Ligue 1","Mamadou Sakho","FRA","DF",34,41,78,65,49,7,22,41,13,18,65,22,74,48,47,55,6,7,28,9,8,43,13
"1753","Montpellier","Ligue 1","Téji Savanier","FRA","MF",85,94,64,69,96,96,70,94,99,99,65,96,28,97,98,94,84,96,65,96,98,93,85
"1754","Montpellier","Ligue 1","Arnaud Souquet","FRA","DF,FW",20,19,44,31,22,21,17,19,32,26,15,42,84,18,18,19,26,13,28,23,16,15,35
"1755","Montpellier","Ligue 1","Issiaga Sylla","GUI","DF",51,64,75,69,67,66,42,64,68,57,16,78,85,68,72,73,68,81,59,54,54,58,69
"1756","Montpellier","Ligue 1","Enzo Tchato","CMR","DF",45,49,67,60,50,60,32,50,45,37,16,53,79,49,54,56,65,73,52,48,47,45,65
"1757","Monza","Serie A","Valentin Antov","BUL","DF",18,23,58,48,25,12,6,23,8,18,100,10,10,21,19,23,15,18,28,17,22,23,16
"1759","Monza","Serie A","Samuele Birindelli","ITA","DF",54,61,69,68,56,76,66,61,56,63,71,57,46,57,65,68,88,83,75,67,67,62,86
"1760","Monza","Serie A","Warren Bondo","FRA","MF",6,8,6,8,13,10,6,8,22,32,91,22,21,10,12,14,20,23,28,9,16,10,13
"1761","Monza","Serie A","Luca Caldirola","ITA","DF",79,85,94,94,79,34,38,85,18,18,22,22,34,85,82,85,44,45,28,23,16,89,34
"1762","Monza","Serie A","Gianluca Caprari","ITA","MF,FW",82,77,26,49,78,93,94,77,95,94,43,96,66,82,87,86,98,93,98,98,91,87,95
"1763","Monza","Serie A","Andrea Carboni","ITA","DF",11,12,19,26,14,13,19,12,18,18,22,29,92,11,11,16,23,18,28,4,8,12,13
"1764","Monza","Serie A","Franco Carboni","ITA","DF,FW",6,8,13,14,10,13,10,8,32,32,43,42,84,8,12,15,31,23,42,4,8,8,27
"1765","Monza","Serie A","Carlos","BRA","DF",96,94,86,90,90,90,88,94,86,91,70,84,42,88,90,90,96,96,87,86,89,91,91
"1766","Monza","Serie A","Patrick Ciurria","ITA","DF,MF",90,85,66,77,81,92,81,85,84,76,22,89,80,82,83,81,92,92,80,88,72,86,93
"1767","Monza","Serie A","Andrea Colpani","ITA","MF",38,40,24,30,44,62,64,40,77,80,66,70,34,46,50,51,68,79,75,61,72,45,68
"1769","Monza","Serie A","Marco D'Alessandro","ITA","DF,FW",17,16,10,25,16,27,34,16,26,18,10,36,88,15,23,25,48,26,69,20,38,15,40
"1770","Monza","Serie A","Michele Di Gregorio","ITA","GK",99,84,100,100,4,2,6,84,13,26,100,10,10,85,84,92,6,7,28,9,16,75,5
"1771","Monza","Serie A","Giulio Donati","ITA","DF",22,29,54,54,31,23,10,29,18,18,22,29,92,33,30,31,23,33,28,17,16,34,27
"1772","Monza","Serie A","Christian Gytkjær","DEN","FW,MF",26,18,19,7,20,34,63,18,26,32,80,29,46,16,11,6,11,18,52,54,38,19,51
"1773","Monza","Serie A","Armando Izzo","ITA","DF",84,91,92,95,86,47,64,91,58,63,67,57,41,88,82,83,61,45,42,38,50,91,49
"1774","Monza","Serie A","Pablo Marí","ESP","DF",83,91,97,97,84,20,44,91,22,26,65,29,74,89,86,88,29,39,42,35,38,92,16
"1775","Monza","Serie A","Marlon","BRA","DF",61,72,87,87,76,25,36,72,26,26,36,36,88,72,69,73,56,42,42,26,16,78,33
"1777","Monza","Serie A","Salvatore Molina","ITA","DF",14,16,24,21,15,32,10,16,22,26,65,22,21,15,16,21,37,30,28,20,22,15,44
"1778","Monza","Serie A","Dany Mota","POR","FW,MF",69,56,53,38,60,80,92,56,91,91,50,87,37,59,70,62,91,82,96,97,93,64,92
"1779","Monza","Serie A","Pepín","EQG","MF",46,53,51,55,66,53,34,54,56,50,24,65,80,55,60,58,56,69,65,48,62,60,48
"1780","Monza","Serie A","Matteo Pessina","ITA","MF",94,97,80,87,98,89,81,97,86,92,80,81,35,96,97,95,94,89,72,95,91,98,77
"1781","Monza","Serie A","Andrea Petagna","ITA","FW",62,47,49,29,54,68,92,47,74,79,68,65,26,47,50,37,60,50,82,95,95,53,88
"1783","Monza","Serie A","Filippo Ranocchia","ITA","MF",26,28,40,36,34,39,19,28,49,54,69,36,16,32,37,38,46,62,28,38,57,31,36
"1784","Monza","Serie A","Nicolò Rovella","ITA","MF",62,83,66,76,91,64,34,83,49,46,36,57,78,84,83,79,63,75,52,58,47,87,37
"1785","Monza","Serie A","Stefano Sensi","ITA","MF",61,82,50,69,90,75,36,82,65,63,37,60,34,84,81,75,67,80,52,77,70,89,55
"1786","Monza","Serie A","Mattia Valoti","ITA","MF,FW",22,22,30,30,28,26,22,22,39,32,16,42,46,20,22,22,31,26,28,38,38,23,29
"1787","Monza","Serie A","Samuele Vignato","ITA","MF,FW",6,6,6,3,9,15,30,6,22,32,91,22,21,7,9,12,26,18,65,13,8,9,24
"1788","Nantes","Ligue 1","Mohamed Achi","FRA","FW",4,4,6,5,6,8,6,4,8,7,7,22,100,6,6,8,15,18,28,4,16,5,9
"1789","Nantes","Ligue 1","Dennis Appiah","FRA","DF,MF",35,42,62,56,49,44,19,42,54,46,22,63,81,47,51,55,49,52,28,43,57,41,62
"1790","Nantes","Ligue 1","Stredair Appuah","FRA","DF,MF",5,6,6,5,8,13,14,6,26,37,92,22,16,6,14,17,31,33,52,20,22,6,30
"1791","Nantes","Ligue 1","Ludovic Blas","FRA","MF,FW",92,86,30,54,86,97,94,86,100,100,52,100,54,94,98,95,99,97,97,99,100,89,98
"1792","Nantes","Ligue 1","Jean-Charles Castelletto","CMR","DF",86,86,90,91,89,38,53,86,54,63,80,46,23,91,89,91,56,68,28,58,47,82,42
"1793","Nantes","Ligue 1","Fabien Centonze","FRA","DF",64,73,82,74,74,78,40,74,90,95,75,84,34,77,82,78,81,86,69,68,59,68,87
"1794","Nantes","Ligue 1","Pedro Chirivella","ESP","MF",71,82,48,63,95,60,32,82,49,54,69,50,46,93,90,82,49,62,42,23,43,88,44
"1795","Nantes","Ligue 1","Marcus Coco","FRA","FW,MF",27,28,38,37,29,46,54,28,45,50,70,50,60,32,36,39,54,36,65,50,57,27,62
"1796","Nantes","Ligue 1","Sébastien Corchia","FRA","DF",34,37,55,48,38,53,34,37,41,32,13,29,14,40,40,38,60,45,65,48,47,33,69
"1797","Nantes","Ligue 1","Andy Delort","ALG","FW",23,19,13,9,20,42,68,19,36,46,86,29,17,21,18,13,15,18,42,48,50,20,59
"1799","Nantes","Ligue 1","Lohann Doucet","FRA","MF,FW",8,11,21,15,17,10,10,11,13,18,65,22,74,13,14,17,15,23,28,4,8,10,9
"1800","Nantes","Ligue 1","Fábio","BRA","DF,MF",14,17,33,22,18,28,19,17,22,18,12,36,94,16,15,16,23,33,28,20,16,14,39
