"","Squad_1","Squad_2","Comp_1","Comp_2","Player","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"133","Angers","Saint-Étienne","Ligue 1","Ligue 1","Paul Bernardoni",-22,-22,-22,-22,-14,15,-13,-6.66666666666666,6,-3.33333333333334,-8,-16.6666666666667,-16.3333333333333,-19.3333333333333,-4.66666666666667,-1.33333333333333,-10.6666666666667,-5.66666666666667,-1
"134","Lorient","Metz","Ligue 1","Ligue 1","Paul Delecroix",-11,-15,-14,-14,-19,1,-18,-16,-5,-14,-15,-12,0,0,-16,-20,0,0,0
"135","Tottenham","Elche","Premier League","La Liga","Paulo Gazzaniga",-18,-16,-17,-17,-24,-29,-26,-27,-44,-11,-34,-18,0,38,-45,-37,-32,0,-20
"136","Elche","Girona","La Liga","La Liga","Paulo Gazzaniga",35,34,35,35,41,14,47,49,55,43,58,22,14,-32,64,50,32,17,13
"137","Napoli","Milan","Serie A","Serie A","Pepe Reina",-84.5,-86,-86.5,-86.5,-47,19.5,-49.5,-51.5,17,-83.5,-55,-19,-80.5,-31.5,-30.5,-41,0,0,13
"138","Milan","Aston Villa","Serie A","Premier League","Pepe Reina",17.5,19,19.5,19.5,23,41.5,19.5,19,-54,11,24,34,12.5,-25.5,31,32.5,16,0,6
"139","Aston Villa","Lazio","Premier League","Serie A","Pepe Reina",18.5,18.5,18.5,18.5,27.5,-6,18,14.5,7,40,4.5,2,24.5,16.5,34,40,-32,8.5,-29
"140","Lazio","Villarreal","Serie A","La Liga","Pepe Reina",-0.5,-0.5,-0.5,-0.5,-15.5,-35,-1,4.5,41,11,-4.5,-2,-1.5,-0.5,-20,-10,0,-8.5,0
"141","Reims","Mallorca","Ligue 1","La Liga","Predrag Rajković",3.33333333333333,3.33333333333333,5.33333333333333,6.33333333333333,5,-1.66666666666667,-3.33333333333333,-5,-3.66666666666667,13.6666666666667,-21.6666666666667,18.3333333333333,4.66666666666667,6.33333333333333,4.66666666666667,27.3333333333333,-8,-11.3333333333333,-21.6666666666667
"142","Union Berlin","Augsburg","Bundesliga","Bundesliga","Rafał Gikiewicz",-4.66666666666667,-4.66666666666667,-4.66666666666667,-4.66666666666667,-6.66666666666667,1.66666666666667,-4,-1,15,-15,4.33333333333334,-3.66666666666667,-7,-5,14.3333333333333,3,-7.33333333333333,12,-4
