"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"1156","Málaga","Villarreal","La Liga","La Liga","Javier Ontiveros",17,-22,0,0,29,34,0,10,3,19,10,0,0,25,3,23,-40
"1157","Villarreal","Huesca","La Liga","La Liga","Javier Ontiveros",1,29,0,0,13,16,0,-4,12,0,-10,0,0,0,0,-2,2
"1158","Huesca","Osasuna","La Liga","La Liga","Javier Ontiveros",-35,-61,0,0,-63,-71,0,-38,-30,-49,0,0,0,-51,-27,-43,74
"1159","Paris S-G","Roma","Ligue 1","Serie A","Javier Pastore",-32,-32,0,0,-17.3333333333333,-26.6666666666667,-21,-15.3333333333333,-25,-39.6666666666667,0,0,0,-29.6666666666667,-13,-10.3333333333333,6.66666666666667
"1160","Roma","Elche","Serie A","La Liga","Javier Pastore",6,32,11,0,1.33333333333333,3.66666666666667,12,10.3333333333333,8,-7.33333333333334,0,0,0,1.66666666666667,13,5.33333333333333,4.33333333333333
"1161","Genoa","Valladolid","Serie A","La Liga","Jawad El Yamiq",38,33,5.5,0,29,34.5,13.5,0,62.5,27,0,14,0,48,44,27.5,18
"1162","West Brom","Burnley","Premier League","Premier League","Jay Rodriguez",-33,3.33333333333334,0,0,-13.6666666666667,-19.6666666666667,-0.666666666666671,-23.3333333333333,-36,-10,0,0,0,-31.3333333333333,-4,0.333333333333329,-15.6666666666667
"1163","Udinese","Hellas Verona","Serie A","Serie A","Jayden Braaf",9,18,0,0,17,0,33,18,14,16,0,0,0,6,0,0,0
"1164","Lyon","Brest","Ligue 1","Ligue 1","Jean Lucas",29,23,11,6,24.5,48,0,16,21,26.5,0,-7,0,36,30.5,22,22.5
"1165","Brest","Monaco","Ligue 1","Ligue 1","Jean Lucas",-5.5,-32,-5.5,-3,0.5,-20.5,22.5,-5,-0.5,-0.5,0,0,0,-4.5,-6,1.5,-11.5
"1166","Lille","Bordeaux","Ligue 1","Ligue 1","Jean Onana",59,44,11,0,72,75,18,39,68,86,0,0,0,87,69,60,-8
"1167","Bordeaux","Lens","Ligue 1","Ligue 1","Jean Onana",-32,0,-11,0,-58,-42,9,-28,-24,-30,0,0,0,-40,-47,-45,-7
"1168","Nice","Fulham","Ligue 1","Premier League","Jean Seri",-10,5,0,0,9,-24,18,2,7,24,-12,0,0,-5,3,6,-5
"1169","Fulham","Bordeaux","Premier League","Ligue 1","Jean Seri",-45,-22,0,0,-34,-22,-18,-51,-29,-37,0,0,0,-40,-16,-18,-2
"1170","Brest","Nantes","Ligue 1","Ligue 1","Jean-Charles Castelletto",13,12.6666666666667,-11,0,9,0.333333333333336,-21,4.33333333333334,5.66666666666667,29.6666666666667,0,11.3333333333333,0,12,-0.666666666666671,-10.3333333333333,9.66666666666667
"1171","Toulouse","Barcelona","Ligue 1","La Liga","Jean-Clair Todibo",-27,-28,-11,-6,-29,-23,0,0,-38.5,-52.5,-10,-14,0,-39.5,-52,-34.5,-26
"1172","Barcelona","Schalke 04","La Liga","Bundesliga","Jean-Clair Todibo",12,16,0,0,11,23,18,0,40.5,33.5,0,0,0,19.5,32,6.5,42
"1173","Schalke 04","Nice","Bundesliga","Ligue 1","Jean-Clair Todibo",59,28.3333333333333,4,2,35.3333333333333,23.3333333333333,-12,24,23,34,0,10.3333333333333,0,58.6666666666667,33.3333333333333,49.3333333333333,-17.6666666666667
"1174","Benevento","Clermont Foot","Serie A","Ligue 1","Jean-Claude Billong",4,16,0,0,2,12,0,0,-5,-13.5,0,0,0,7,28.5,9,17
"1175","Lazio","Empoli","Serie A","Serie A","Jean-Daniel Akpa-Akpro",19,26,12,6,16.5,17.5,0,25,11.5,24.5,0,-7,0,19,24,20,2
"1176","Monaco","Saint-Étienne","Ligue 1","Ligue 1","Jean-Eudes Aholou",5.5,28,11,0,1.5,18,18,5.5,19,24,0,0,0,16,5.5,3.5,-24.5
"1177","Saint-Étienne","Strasbourg","Ligue 1","Ligue 1","Jean-Eudes Aholou",36.5,9.5,-8.25,0,43.75,23.75,-9,9.5,23,16.75,0,0,0,29.75,28.75,20.75,23.5
"1178","RB Leipzig","Monaco","Bundesliga","Ligue 1","Jean-Kévin Augustin",-20,-9,0,0,-36.5,-39.5,-8,-26,-2,-21,4,0,0,-10,-30.5,-37,-4.5
"1179","Monaco","Nantes","Ligue 1","Ligue 1","Jean-Kévin Augustin",-11.5,9,0,0,-7,-24,-37,0,-19,0,-10,0,0,-11.5,6,-20,40
"1180","Mainz 05","Hertha BSC","Bundesliga","Bundesliga","Jean-Paul Boëtius",-29.5,-15.5,0,0,-34,-14,-17.25,-28.5,-22.25,-20.25,0,0,0,-21.5,-26.75,-25,-10.25
"1181","Mainz 05","Everton","Bundesliga","Premier League","Jean-Philippe Gbamin",-79.5,-49,0,0,-79,-67.5,-9,-40,-69,-71,0,-7,0,-86.5,-73.5,-71.5,13
"1182","Mainz 05","Crystal Palace","Bundesliga","Premier League","Jean-Philippe Mateta",-24.3333333333333,-6.66666666666666,-3.66666666666667,-2,-8.66666666666667,-23.3333333333333,-6,-17,-2.66666666666667,-10.3333333333333,-6.66666666666667,0,0,-12,-15.3333333333333,-11.3333333333333,-11
"1183","Nice","Toulouse","Ligue 1","Ligue 1","Jean-Victor Makengo",12,-13,0,0,30,16,18,7,-9.5,20,0,0,0,12.5,-3.5,4,-9
"1184","Toulouse","Udinese","Ligue 1","Serie A","Jean-Victor Makengo",6,22,3.66666666666667,2,-12.6666666666667,0.333333333333336,-12,-3.66666666666666,21.3333333333333,4.66666666666666,0,0,0,8.33333333333334,13.6666666666667,-22.6666666666667,63.3333333333333
"1185","Udinese","Lorient","Serie A","Ligue 1","Jean-Victor Makengo",-7,-8,7.33333333333333,4,1.66666666666666,19.6666666666667,-6,-21.3333333333333,-0.333333333333336,-16.6666666666667,0,0,0,4.66666666666666,-9.66666666666666,-5.33333333333333,-13.3333333333333
"1186","Burnley","Newcastle Utd","Premier League","Premier League","Jeff Hendrick",-44,-26,5.5,3,-26.3333333333333,-30.6666666666667,-28.1666666666667,-38,-17.1666666666667,-30,0,-4.66666666666667,0,-45.3333333333333,-32.1666666666667,-31.5,-0.666666666666664
"1187","Angers","Nice","Ligue 1","Ligue 1","Jeff Reine-Adélaïde",4.66666666666666,7.33333333333334,0,0,-13,12.6666666666667,10,33.3333333333333,1.33333333333334,-14.6666666666667,6.66666666666667,0,0,9.66666666666666,-12.3333333333333,-0.666666666666664,-41.3333333333333
"1188","Nice","Lyon","Ligue 1","Ligue 1","Jeff Reine-Adélaïde",-20.6666666666667,2.66666666666666,0,0,4.66666666666666,-34.6666666666667,-21,-19,-2.66666666666666,4,-10,0,0,-19.6666666666667,-6,-13,15.3333333333333
"1189","Lyon","Troyes","Ligue 1","Ligue 1","Jeff Reine-Adélaïde",-7.33333333333333,-20.6666666666667,0,0,-16.6666666666667,-5.33333333333334,-6,-30,-6.33333333333334,-13,0,0,0,-12.3333333333333,2,-1,7.66666666666666
"1190","Levante","Bournemouth","La Liga","Premier League","Jefferson Lerma",15.3333333333333,-2.33333333333333,3.66666666666667,2,-5.66666666666667,-5.66666666666667,26,16,0.666666666666671,-3,3.33333333333333,5.66666666666667,3.33333333333333,5,-3.66666666666667,3,-16
"1191","Schalke 04","Wolfsburg","Bundesliga","Bundesliga","Jeffrey Bruma",9,-36,0,0,10.5,4.5,9,-3.5,24,-9.5,0,-7,-5,-1.5,14,14.5,1.5
"1192","Wolfsburg","Mainz 05","Bundesliga","Bundesliga","Jeffrey Bruma",-7,26,0,0,-8.5,0.5,9,-3.5,-18,0.5,0,-7,0,1.5,-4,-11.5,6.5
"1193","Valencia","Barcelona","La Liga","La Liga","Jeison Murillo",-21.5,-27,0,0,-26.5,-33.5,-13.5,0,-42,-26,0,-7,0,-21.5,-27.5,-14.5,-38
"1194","Barcelona","Celta Vigo","La Liga","La Liga","Jeison Murillo",55,66,7.33333333333333,2,61,60.3333333333333,11,6.66666666666667,62.6666666666667,43.6666666666667,0,9.33333333333333,0,57.3333333333333,62,59,24.6666666666667
"1195","Celta Vigo","Sampdoria","La Liga","Serie A","Jeison Murillo",-27,-11,3.66666666666667,4,-19,-13.8333333333333,2.5,10.8333333333333,-25.1666666666667,-20.6666666666667,0,-9.33333333333333,2.5,-26.8333333333333,-25.5,-34.5,0.333333333333329
"1196","Monaco","Metz","Ligue 1","Ligue 1","Jemerson",-22.6666666666667,-14.6666666666667,1,-2,-23,-20,-6,-9.33333333333333,-2.33333333333333,-2,0,4.66666666666667,0,-15,-25.6666666666667,-13.3333333333333,-33.3333333333333
"1197","Milan","Eint Frankfurt","Serie A","Bundesliga","Jens Petter Hauge",17,54,0,0,12,33,0,7,11,3,0,0,0,24,16,18,3
"1198","Brest","Schalke 04","Ligue 1","Bundesliga","Jere Uronen",3.5,32,0,0,4.5,13,0,12,-7,1.5,0,0,0,12.5,25,8,31
"1199","Sassuolo","Atalanta","Serie A","Serie A","Jeremie Boga",-24.75,0,0,0,-15.25,-13.75,-15.5,18,-12.5,-7,-5,-4.25,0,-17,5.5,-11.25,33.5
"1200","West Ham","Watford","Premier League","Premier League","Jeremy Ngakia",15,0,0,0,16,21,-18,13,12,28,0,0,0,28,22,10,22
"1201","Dortmund","Hoffenheim","Bundesliga","Bundesliga","Jeremy Toljan",-35,-18,0,0,-9,-47,-27,-45,-44,-56,0,0,0,-40,-32,-38,45
"1202","Hoffenheim","Sassuolo","Bundesliga","Serie A","Jeremy Toljan",55,45,0,0,35,31,16,49.25,50,47.5,0,7,0,58.5,18.75,37,-63.75
"1203","Manchester Utd","West Ham","Premier League","Premier League","Jesse Lingard",7.25,9.5,0,0,-1.5,15.5,17.25,17.25,-1.25,-20,9,0,0,8,-15,-23,-1.75
"1204","West Ham","Nott'ham Forest","Premier League","Premier League","Jesse Lingard",-15,-26,0,0,-31,-32,-15,-35,3,-6,-12,0,0,-14,7,-5,9
"1205","Hertha BSC","Greuther Fürth","Bundesliga","Bundesliga","Jessic Ngankam",-1.33333333333333,-26.3333333333333,0,0,3.66666666666666,-3.33333333333334,3,-6.66666666666667,-2.66666666666667,-13.3333333333333,-3.33333333333333,0,0,-1,5.33333333333333,-7,-7
"1206","Saint-Étienne","Troyes","Ligue 1","Ligue 1","Jessy Moulin",-5,35,11,6,4.5,1.5,0,0,2.5,-1.5,0,-3.5,-1.25,-1.75,-13,4.25,-41.25
"1207","Stoke City","Betis","Premier League","La Liga","Jesé",5,32,0,0,5,-3,22,-27,8,-10,-10,0,0,-6,17,20,2
"1208","Betis","Sampdoria","La Liga","Serie A","Jesé",-20,-32,0,0,-11,3,-13,-13,0,-20,0,0,0,-11,-5,-11,0
"1209","Real Madrid","Wolves","La Liga","Premier League","Jesús Vallejo",-10.3333333333333,6,-3.66666666666667,0,-3,-3.33333333333333,-6,4.66666666666667,-23.6666666666667,-19.3333333333333,0,-10.3333333333333,0,-12.6666666666667,-8,-10.3333333333333,26.3333333333333
"1210","Wolves","Granada","Premier League","La Liga","Jesús Vallejo",28.5,7,5.5,0,21,8.5,22.5,7.5,22,18.5,0,14,0,23,23,28,-28.5
"1211","Eint Frankfurt","Newcastle Utd","Bundesliga","Premier League","Jetro Willems",10,-43,-5.5,0,-11,7,-14,-14.5,5,-8,0,0,0,10,14.5,2.5,18
"1212","Newcastle Utd","Greuther Fürth","Premier League","Bundesliga","Jetro Willems",3,61,0,0,10,-15,-18,5,-6,-8,0,0,0,9,-4,0,-7
"1213","Köln","Hertha BSC","Bundesliga","Bundesliga","Jhon Córdoba",2.5,4.5,0,0,1.5,-1,-0.5,8,12,-12.5,12,14,0,0,-3,-0.5,-11
"1214","Augsburg","Mainz 05","Bundesliga","Bundesliga","Ji Dong-won",-13,2,0,0,-14,-9.5,0,-15.5,-14.5,-13,0,0,0,-22.5,-17,-16.5,7
"1215","Guingamp","Bordeaux","Ligue 1","Ligue 1","Jimmy Briand",-52.25,-32.5,0,0,-44.75,-42.25,-18.25,-28.5,-27,-42.5,-10,-10.5,0,-48.75,-23.75,-21,1.25
"1216","Angers","Lens","Ligue 1","Ligue 1","Jimmy Cabot",-30.5,-4,0,0,-19.5,-59,0,4,-35.5,-21,-5,0,0,-28.5,-7.5,-16,29.5
"1217","Sampdoria","Lyon","Serie A","Ligue 1","Joachim Andersen",-24.5,-4,0,0,-9.5,-19.5,0,0,-29.5,-23,0,-1.5,0,-22.5,-20,-21.5,14
"1218","Lyon","Fulham","Ligue 1","Premier League","Joachim Andersen",53.5,39,11,0,48.5,37.5,18,35.5,54,39,0,10,0,53,41,53,-7
"1219","Fulham","Crystal Palace","Premier League","Premier League","Joachim Andersen",2.5,-7,-11,0,-21.5,-7.5,4.5,-5,-10.5,6,0,-17,5,-2,-4.5,-3,-10.5
"1220","Eibar","Sevilla","La Liga","La Liga","Joan Jordán",-11.75,18.5,-2.75,-1.5,1,1.5,-27.25,-23.25,-7.75,-4.5,2.5,0,0,-6.75,-26,-22.75,-17
"1221","Sevilla","Lazio","La Liga","Serie A","Joaquín Correa",21.6666666666667,-26,3.66666666666667,2,-4.66666666666667,1.33333333333333,2,12,12,1.66666666666666,2,0,0,-1,6.33333333333334,22.6666666666667,-17.6666666666667
"1222","Lazio","Inter","Serie A","Serie A","Joaquín Correa",-28.6666666666667,-10,-3.66666666666667,-2,-21.8333333333333,-30.3333333333333,-19.5,-32,-7,-14.1666666666667,-12,0,0,-17,-22.8333333333333,-30.6666666666667,0.666666666666668
"1223","Atlético Madrid","Huesca","La Liga","La Liga","Joaquín Muñoz",4,0,0,0,10,11,0,7,8,0,0,0,0,3,0,14,-86
"1224","Fulham","Nice","Premier League","Ligue 1","Joe Bryan",-42.5,-2.5,0,0,-33,-35.5,4.5,-52.5,-52,-38,-5,-7,0,-37,-49.5,-26,-60
"1225","West Ham","Burnley","Premier League","Premier League","Joe Hart",0,0,0,0,-6,-6,0,0,0,-6,0,-14,0,-3,0,0,0
"1226","Tottenham","Rennes","Premier League","Ligue 1","Joe Rodon",30.5,32,11,0,30,36.5,-9,7,8,12,0,0,0,36.5,42,41,5.5
"1227","Arsenal","Newcastle Utd","Premier League","Premier League","Joe Willock",50,-6.5,0,0,46.25,44.4166666666667,11,34.1666666666667,45.1666666666667,47.75,3.33333333333333,4.66666666666667,0,49.9166666666667,30.5833333333333,31.5833333333333,-3.08333333333334
"1228","Betis","Frosinone","La Liga","Serie A","Joel Campbell",24,36,0,0,34,34,45,31,19,28,0,0,0,15,12,39,1
"1229","Torino","Chievo","Serie A","Serie A","Joel Obi",-19,-26,0,0,-25,-45,6,-14,-16,-18,0,0,0,-27,-19,-39,25
"1230","Chievo","Salernitana","Serie A","Serie A","Joel Obi",16,36,0,0,32,43,-33,22,-8,-3,0,0,0,14,9,11,-3
"1231","Leverkusen","Union Berlin","Bundesliga","Bundesliga","Joel Pohjanpalo",34.5,0,0,0,20,30.25,40,18,8,6,0,0,0,23,66,65.25,29.5
"1232","Betis","Leeds United","La Liga","Premier League","Joel Robles",-38.6666666666667,-7.33333333333334,-3.66666666666667,0,-4,-4,0,0,0,0,0,-4.66666666666667,0,-28,2.66666666666667,0,0
"1233","Hoffenheim","Newcastle Utd","Bundesliga","Premier League","Joelinton",7.75,4.75,0,0,-9.5,7,-0.75,10.25,11,8.25,-5,3.5,0,10.5,4.75,-0.25,16
"1234","Girona","Atalanta","La Liga","Serie A","Johan Mojica",-57,-48,0,0,-66,-80,-42,-31,-41,-52,0,14,0,-56,-42,-56,26
"1235","Atalanta","Elche","Serie A","La Liga","Johan Mojica",34.3333333333333,25.3333333333333,3.66666666666667,0,31.3333333333333,43,18.3333333333333,15,14,21.6666666666667,0,-4.66666666666667,0,33.6666666666667,19.6666666666667,17.6666666666667,0
"1236","Elche","Villarreal","La Liga","La Liga","Johan Mojica",-22.3333333333333,-43.3333333333333,-3.66666666666667,0,-34.3333333333333,0,-18.3333333333333,-2,-23,-5.66666666666666,0,-9.33333333333333,0,-22.6666666666667,-12.6666666666667,-17.6666666666667,14
"1237","Genoa","Cremonese","Serie A","Serie A","Johan Vásquez",-15,0,0,0,-19,-13,-18,-23,0,-18,0,0,0,-12,-15,-7,-13
"1238","Wolfsburg","Hoffenheim","Bundesliga","Bundesliga","John Brooks",-22.8,7,0,0,9.6,3.2,18,-8.4,-31.8,-18.2,0,5,-1,-5.59999999999999,4.2,4.40000000000001,-1.2
"1239","Celta Vigo","Alavés","La Liga","La Liga","John Guidetti",14.4,25.2,0,0,23.8,21.4,1.59999999999999,25.6,6,11.8,2,2.8,0,6.4,24.6,29.8,-18.6
"1240","Strasbourg","Rennes","Ligue 1","Ligue 1","Jonas Martin",-25.3333333333333,-2,0,0,-21.6666666666667,-31.3333333333333,-11,-34.3333333333333,-15,-22,-3.33333333333333,-4.66666666666667,0,-21,-12.6666666666667,-25,31
"1241","Rennes","Lille","Ligue 1","Ligue 1","Jonas Martin",-19,-12.6666666666667,0,0,-10.3333333333333,-2,0,5.33333333333333,-3.66666666666666,-6.33333333333334,0,0,0,-21.3333333333333,-0.666666666666664,-11.3333333333333,22.3333333333333
"1242","Montpellier","M'Gladbach","Ligue 1","Bundesliga","Jonas Omlin",-23.6666666666667,-6,-11,0,-7.33333333333333,-3.33333333333333,0,0,0,2,0,-4.66666666666667,-3.33333333333333,-6.33333333333334,-12.3333333333333,0,0
"1243","Saint-Étienne","Lille","Ligue 1","Ligue 1","Jonathan Bamba",0.200000000000003,24.8,0,0,-15.6,1.8,-12.6,-4.2,6.2,-12.2,-7.59999999999999,2.8,0,3,-11.2,-21.6,9.6
"1244","Las Palmas","Alavés","La Liga","La Liga","Jonathan Calleri",-5,-4,0,0,0,0,-3,9,0,-7,2,-14,0,1,2,1,3
"1245","Alavés","Espanyol","La Liga","La Liga","Jonathan Calleri",-26,0,11,6,-4,-3,-7,-14,0,-14,-12,0,0,-24,-1,-1,14
"1246","Espanyol","Osasuna","La Liga","La Liga","Jonathan Calleri",-8,-12,-11,-6,-3,-5,7,-16,-24,-7,0,0,0,6,-2,-1,-9
"1247","Lens","Marseille","Ligue 1","Ligue 1","Jonathan Clauss",-5,-20,0,0,-5,-5,1,-4.5,-12,1.5,-5,5.5,0,0.5,-20.5,0.5,-36
"1248","Caen","Lorient","Ligue 1","Ligue 1","Jonathan Delaplace",10,-26,11,0,7,-6,18,23,19,-10,0,0,0,8,-7,-9,0
"1249","Caen","Lens","Ligue 1","Ligue 1","Jonathan Gradit",21.6666666666667,52,3.66666666666667,2,23.6666666666667,3.33333333333333,-18,-10.3333333333333,0.666666666666671,6,0,5.66666666666667,-5,11,9.33333333333333,-2.66666666666667,25.3333333333333
"1250","Montpellier","Lille","Ligue 1","Ligue 1","Jonathan Ikone",29.75,32,0,0,18.25,30.25,30,-11.75,-0.75,-4,0,0,0,19,9.25,8.5,4.25
"1251","Lille","Fiorentina","Ligue 1","Serie A","Jonathan Ikone",-21.25,4,0,0,-9.25,-12.25,-1,2.25,-12.75,-12,5,0,0,-12,-4.25,-13,2.25
"1252","Monaco","Dijon","Ligue 1","Ligue 1","Jonathan Panzo",56,61,0,0,71,36,0,7,66,34,0,18,0,65,65,46,43
"1253","Augsburg","Freiburg","Bundesliga","Bundesliga","Jonathan Schmid",-3.16666666666667,6,0,0,-12.1666666666667,-7.33333333333334,-10.1666666666667,-11.1666666666667,-2.33333333333333,-6.83333333333333,0,0,-2.5,-1.83333333333333,-11,-11.5,-4.33333333333334
"1254","Roma","Leganés","Serie A","La Liga","Jonathan Silva",80.5,75.5,5.5,0,82,70.5,35,53.5,53,80.5,0,7,2.5,69.5,58,61,-13.5
"1255","Leganés","Getafe","La Liga","La Liga","Jonathan Silva",-74.5,-21.5,-5.5,0,-56,-47.5,-35,-42.5,-53,-47.5,0,-7,-2.5,-61.5,-58,-57,-19.5
"1256","Newcastle Utd","Nott'ham Forest","Premier League","Premier League","Jonjo Shelvey",-43.8,-17.2,-4.59999999999999,-2.40000000000001,-28,-25,-3.6,-29.6,-34.2,-49.6,0,14,0,-51.8,-32.8,-32.2,24
"1257","Everton","Schalke 04","Premier League","Bundesliga","Jonjoe Kenny",43.6666666666667,29.6666666666667,-3.66666666666667,-2,33.6666666666667,18.3333333333333,31,14.3333333333333,5.66666666666667,20.6666666666667,-3.33333333333333,14,0,39,11.3333333333333,24,-14.3333333333333
"1258","Schalke 04","Hertha BSC","Bundesliga","Bundesliga","Jonjoe Kenny",-12,-17,0,0,1,-9,-37,-1,16,4,0,-14,0,-7,-5,-16,13
"1259","Celta Vigo","Wolves","La Liga","Premier League","Jonny Castro",-38.2,-38.6,2.2,0,-41.6,-19.6,-1,-14.8,-26.8,-28.4,-6,-14,0,-33.4,-20.6,-22.4,-0.600000000000001
"1260","West Brom","Leicester City","Premier League","Premier League","Jonny Evans",-8.2,-22.8,2.2,0,-14.2,-23.4,12.6,-10.6,-11.4,-16.4,2,5.59999999999999,-3,-5.8,0.400000000000006,-7.59999999999999,8.2
"1261","Málaga","Alavés","La Liga","La Liga","Jony",81,26,0,0,69,65,50,23,47,38,0,0,0,77,24,57,2
"1262","Alavés","Lazio","La Liga","Serie A","Jony",-48,10,0,0,-42,-25,-13,-3,-13,-13,0,0,0,-39,-7,-30,3
"1263","Lazio","Osasuna","Serie A","La Liga","Jony",-10,-54,0,0,-5,-18,-19,-5,0,-20,0,0,0,-19,4,-10,18
"1264","Girona","Osasuna","La Liga","La Liga","Jonás Ramalho",-52.5,-49,0,0,-44,-37,-9,-19,-47,-24.5,0,-15.5,-5,-49,-41,-47,13
"1265","Marseille","Nice","Ligue 1","Ligue 1","Jordan Amavi",-32.4,-33.6,-4.59999999999999,0,-49.6,-31.6,-10.8,-21.2,-14.8,-21,-2,-9,0,-27.6,-27,-18,-14.8
"1266","Nice","Getafe","Ligue 1","La Liga","Jordan Amavi",-8,14,11,6,3,-9,18,0,-27,-28,0,0,0,-11,-6,-15,29
"1267","Swansea City","Crystal Palace","Premier League","Premier League","Jordan Ayew",-16.4,19.4,-11,0,-6.40000000000001,-5.40000000000001,-5.8,-6.2,-17.2,-12.4,2,0,0,-10.2,-5.8,-1.59999999999999,1.8
"1268","Lyon","Nîmes","Ligue 1","Ligue 1","Jordan Ferri",47.5,34,0,0,55.5,51.5,27,22.5,33,48,0,0,0,63.5,40,52,-11
"1269","Nîmes","Montpellier","Ligue 1","Ligue 1","Jordan Ferri",11.5,-3.25,8.25,3,-3.25,8.5,-22.5,6.75,3,-4.5,0,7.75,0,-2.75,-8.25,-13.75,5.25
"1270","Rennes","Union Berlin","Ligue 1","Bundesliga","Jordan Pefok",26,22,0,0,44.5,16,23.5,9.5,7.5,11.5,-5,0,0,17,37.5,39.5,14.5
"1271","Rennes","Clermont Foot","Ligue 1","Ligue 1","Jordan Tell",9,18,0,0,3,16,-18,13,-8,3,0,0,0,10,12,7,14
"1272","Fiorentina","Roma","Serie A","Serie A","Jordan Veretout",-16.3333333333333,-14,-11,0,-18.3333333333333,-25.6666666666667,6,-5.16666666666667,-22.5,-26.3333333333333,0,9.33333333333333,0,-15.6666666666667,-26.8333333333333,-43.1666666666667,13.8333333333333
"1273","Roma","Marseille","Serie A","Ligue 1","Jordan Veretout",10.3333333333333,-8,0,0,11.3333333333333,13.6666666666667,12,-0.333333333333329,19,22.3333333333333,0,-9.33333333333333,5,15.6666666666667,16.3333333333333,25.6666666666667,-9.33333333333334
"1274","Betis","Rayo Vallecano","La Liga","La Liga","Jordi Amat",18,4,-12,-6,6,-3,18,0,3,10,0,0,-5,11,13,15,6
"1275","Monaco","Mallorca","Ligue 1","La Liga","Jordi Mboula",13,23,0,0,8,20.5,40,-0.5,15,11,0,14,0,13.5,30.5,17,20.5
"1276","Getafe","Villarreal","La Liga","La Liga","Jorge Cuenca",-64,-48,-12,0,-62,-43,0,-18,-52,-48,0,14,0,-59,-47,-55,-1
"1277","Köln","Cádiz","Bundesliga","La Liga","Jorge Meré",-18,-46,-2.75,0,-20.5,-14.25,-4.5,-8,-30,-5.5,0,0,-1.25,-27.25,-12.25,-28.25,23
"1278","Huesca","Levante","La Liga","La Liga","Jorge Miramón",-12,-16.6666666666667,3.66666666666667,0,-10,11.3333333333333,6,-4.66666666666667,-6,-21.3333333333333,3.33333333333333,5.66666666666667,0,-13,-9,-0.333333333333329,-17.3333333333333
"1279","Getafe","Granada","La Liga","La Liga","Jorge Molina",-17.3333333333333,-19.6666666666667,-3.66666666666667,0,-23.1666666666667,-9.83333333333333,-4.83333333333333,-17,-5,-13.1666666666667,-2.66666666666667,0,0,-23,-0.166666666666671,-1.66666666666667,20
"1280","Valladolid","Levante","La Liga","La Liga","Jorge de Frutos",65,49,0,0,72,68,41.5,60,48,49,6,8.5,0,60.5,39,46,17
"1281","Napoli","Chelsea","Serie A","Premier League","Jorginho",-12.6,-2.2,0,0,-9.2,12.4,0,-28.4,-5.59999999999999,-7.59999999999999,0,5.59999999999999,0,-6.2,-5.4,-6.8,3.8
"1282","Chelsea","Arsenal","Premier League","Premier League","Jorginho",-38.4,-58.8,0,0,-44.8,-14.4,0,-6.6,-39.4,-30.4,0,-5.59999999999999,0,-36.8,-5.6,-26.2,32.2
"1283","Rennes","Sevilla","Ligue 1","La Liga","Joris Gnagnon",-48.5,-6,0,0,-29.5,-22.5,-13.5,-7.5,-22.5,-28,0,0,-2.5,-30.5,-30.5,-40,-2
"1284","Leganés","Real Sociedad","La Liga","La Liga","Joseba Zaldúa",-25.75,-11,-8.25,1.5,-22,-20.75,-18,-8.25,-27.75,-20.5,0,7,1.25,-24.5,-15.75,-5,-13.75
"1285","Real Sociedad","Cádiz","La Liga","La Liga","Joseba Zaldúa",-29.25,-9,-2.75,-1.5,-29,-49.25,18,-24.75,-15.25,-33.5,0,-7,-1.25,-27.5,-7.25,-19,7.75
"1286","Newcastle Utd","Alavés","Premier League","La Liga","Joselu",48.5,3,0,0,40.5,41.6666666666667,11.6666666666667,20.3333333333333,12.1666666666667,4.5,10.6666666666667,0,0,34.3333333333333,8.5,7.83333333333333,23.6666666666667
"1287","Alavés","Espanyol","La Liga","La Liga","Joselu",1,4,0,0,-25,1.33333333333333,6.33333333333333,1.66666666666666,-7.66666666666666,-7,1.33333333333333,0,0,-14.3333333333333,0,-0.333333333333329,-7.66666666666667
"1288","Bordeaux","Fulham","Ligue 1","Premier League","Josh Maja",7.66666666666667,-16.6666666666667,0,0,-2,-2,5.66666666666667,-2.33333333333333,10.6666666666667,10.6666666666667,0,0,0,2,12.6666666666667,20,-19
"1289","Werder Bremen","Norwich City","Bundesliga","Premier League","Josh Sargent",8.33333333333334,-22,0,0,-23.3333333333333,2,3,13.6666666666667,8,18.3333333333333,0,0,-1.66666666666667,17,16.6666666666667,14.3333333333333,14
"1290","Bournemouth","Everton","Premier League","Premier League","Joshua King",-71.6666666666667,-29.3333333333333,0,0,-70.3333333333333,-76.3333333333333,-8.66666666666667,-49.6666666666667,-22,-46.3333333333333,-7.33333333333333,0,0,-64.6666666666667,-64.6666666666667,-69,1
"1291","Everton","Watford","Premier League","Premier League","Joshua King",67,61,0,0,70,57,12,33,27,46,10,0,0,47,69,71,0
"1292","Bayern Munich","Parma","Bundesliga","Serie A","Joshua Zirkzee",-4,0,0,0,6,-2.5,-22.5,0,-4,5.5,0,0,0,0.5,-10,10,-32
"1293","Parma","Bologna","Serie A","Serie A","Joshua Zirkzee",26,18,0,0,11,27,27,7,23,0,0,0,0,11,37,31,18
"1294","Stuttgart","Wolfsburg","Bundesliga","Bundesliga","Josip Brekalo",14.2,-1.6,0,0,-2.2,-19.4,-1.59999999999999,2.8,18.4,-14.4,0,0,0,13,-10.6,7.8,-30.6
