"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"802","Caen","Getafe","Ligue 1","La Liga","Fayçal Fajr",-46.5,-15,0,0,-36,-40,-24,-13.5,-23,-32.5,0,0,0,-41,-1.5,-5,6
"803","Valladolid","Cádiz","La Liga","La Liga","Fede San Emeterio",-9.5,-1.5,0,0,-1,-10.5,0,-6.5,-26.5,-5.5,0,-7,0,-8,-15.5,-31.5,22
"804","Chievo","Valladolid","Serie A","La Liga","Federico Barba",-61,-22,-12,-6,-54,-18,-18,-27,-51,-23,0,-14,0,-63,-53,-54,2
"805","Valladolid","Benevento","La Liga","Serie A","Federico Barba",65,28,0,0,42,16,18,35,47,28,0,0,5,52,31,51,-42
"806","SPAL","Sampdoria","Serie A","Serie A","Federico Bonazzoli",2.33333333333333,6,0,0,-1,0.333333333333336,17,7.33333333333334,8.66666666666667,7.66666666666667,0,0,0,10.6666666666667,8,-6.66666666666667,32.6666666666667
"807","Sampdoria","Torino","Serie A","Serie A","Federico Bonazzoli",11.6666666666667,26,0,0,14,29.6666666666667,20,-7.33333333333334,5.33333333333333,12.3333333333333,0,0,0,7.33333333333333,13,13.6666666666667,-18.6666666666667
"808","Torino","Salernitana","Serie A","Serie A","Federico Bonazzoli",29,10,0,0,28.5,23.5,6,29,10,10.5,0,0,0,22.5,14,22.5,-0.5
"809","Crotone","Fiorentina","Serie A","Serie A","Federico Ceccherini",-66.6666666666667,-18,-11,0,-52,-38,-36,-17.6666666666667,-41,-37,0,-8.66666666666667,1.66666666666667,-56,-38,-49.6666666666667,2.33333333333333
"810","Fiorentina","Hellas Verona","Serie A","Serie A","Federico Ceccherini",35,38.3333333333333,7.33333333333333,2,51.3333333333333,27,11,22.6666666666667,27,27,0,-9.33333333333333,-1.66666666666667,38.3333333333333,30,33,5.66666666666667
"811","Fiorentina","Juventus","Serie A","Serie A","Federico Chiesa",-23.9166666666667,-23.1666666666667,3.66666666666667,0,-23.6666666666667,-11.9166666666667,-11,-1.25,-10.6666666666667,-1.08333333333333,-2.16666666666667,0,0,-16.5,-19.3333333333333,-14.6666666666667,-17
"812","Bologna","Sassuolo","Serie A","Serie A","Federico Di Francesco",-16,-22,0,0,2,-16,7,-12,-26,-21,10,0,0,-16,-3,2,-10
"813","Sassuolo","SPAL","Serie A","Serie A","Federico Di Francesco",1,22,0,0,-12,17,-7,10,-7,-3,0,0,0,-4,10,8,9
