"","Player","Squad","Comp","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"131","Pau López","Roma","Serie A",2020.5,53,52.5,52,52.5,59.5,50.5,54,53,52,77.5,50,45,45.5,30.5,73,81.5,70,80,55
"132","Paul Bernardoni","Nîmes","Ligue 1",2019.5,74,74,73,73.5,76.5,61.5,74,72.5,42.5,66,58,83.5,69.5,52.5,69.5,78,70,80,60.5
"133","Paul Bernardoni","Angers","Ligue 1",2022,60,60,60,60,72,69,57,47.6666666666667,16,41.3333333333333,59,73.6666666666667,50.3333333333333,44.3333333333333,79.6666666666667,86.3333333333333,64.6666666666667,85.6666666666667,55
"134","Paul Delecroix","Lorient","Ligue 1",2017,16,17,16,16,25,96,20,17,7,21,23,22,10,10,35,48,54,80,54
"135","Paulo Gazzaniga","Tottenham","Premier League",2020,36,35,35,35,38,53,38,39,60,38,51,46,27,16,64,65,86,80,74
"136","Paulo Gazzaniga","Elche","La Liga",2021,18,19,18,18,14,24,12,12,16,27,17,28,27,54,19,28,54,80,54
"137","Pepe Reina","Napoli","Serie A",2017.5,92,92,92,92,52,11,54,56.5,60,99.5,63,25,95,85,49.5,56.5,70,80,64
"138","Pepe Reina","Milan","Serie A",2019.5,7.5,6,5.5,5.5,5,30.5,4.5,5,77,16,8,6,14.5,53.5,19,15.5,70,80,77
"139","Pepe Reina","Aston Villa","Premier League",2020,25,25,25,25,28,72,24,24,23,27,32,40,27,28,50,48,86,80,83
"140","Pepe Reina","Lazio","Serie A",2021.5,43.5,43.5,43.5,43.5,55.5,66,42,38.5,30,67,36.5,42,51.5,44.5,84,88,54,88.5,54
"141","Predrag Rajković","Reims","Ligue 1",2021,81.6666666666667,81.6666666666667,79.6666666666667,79.6666666666667,60,23.6666666666667,72.3333333333333,75,78.6666666666667,64.3333333333333,96.6666666666667,66.6666666666667,86.3333333333333,71.6666666666667,84.3333333333333,63.6666666666667,94,91.3333333333333,80.6666666666667
"142","Rafał Gikiewicz","Union Berlin","Bundesliga",2020,70,70,70,70,89,70,87,83,35,75,51,89,70,50,64,65,86,80,74
"143","René Adler","Hamburger SV","Bundesliga",2017,38,38,38,38,60,87,41,35,8,38,41,63,50,57,83,65,86,99,74
"144","Roberto","Málaga","La Liga",2018,76,76,76,76,85,58,81,77,39,38,51,100,57,30,75,78,86,80,67
"145","Roberto","Alavés","La Liga",2020,20,19,19,19,27,91,25,26,50,21,17,34,27,54,50,65,54,80,54
"146","Roberto","West Ham","Premier League",2020,18,17,16,16,24,92,24,26,39,7,17,40,10,10,19,28,54,80,54
"147","Robin Olsen","Roma","Serie A",2019,53,53,53,53,69,64,63,63,46,75,75,46,41,22,83,78,54,99,54
"148","Robin Olsen","Cagliari","Serie A",2020,34,35,33,33,34,50,42,48,87,52,51,28,41,47,64,78,54,80,54
"149","Robin Olsen","Everton","Premier League",2021,16,17,16,16,14,38,16,17,69,21,32,16,27,62,19,28,54,80,54
"150","Rubén","Levante","La Liga",2016,30,30,30,30,40,79,30,29,10,21,51,50,34,37,64,48,86,97,83
"151","Rubén","La Coruña","La Liga",2018,54,53,53,53,93,90,70,56,6,27,83,85,41,22,50,48,86,80,83
"152","Rui Patrício","Wolves","Premier League",2020,94.6666666666667,94.6666666666667,93,94.6666666666667,75.6666666666667,32,72.6666666666667,72.6666666666667,45.3333333333333,81,88,74.6666666666667,79.3333333333333,57.3333333333333,69,63,78.6666666666667,85.6666666666667,69.3333333333333
"153","Rui Silva","Granada","La Liga",2020.5,72.5,73,72.5,73,79.5,52,73.5,68,42,79.5,67,77.5,80.5,66.5,86.5,81.5,93,88.5,77
"154","Rémy Riou","Nantes","Ligue 1",2017,43,43,43,43,54,62,41,38,36,43,59,63,50,44,83,91,54,80,54
"155","Salvatore Sirigu","Osasuna","La Liga",2017,36,36,36,36,85,98,46,35,1,27,32,73,19,10,64,48,86,97,83
"156","Salvatore Sirigu","Sevilla","La Liga",2017,5,6,3,5,4,61,3,4,57,7,17,10,10,10,19,28,54,80,54
"157","Salvatore Sirigu","Torino","Serie A",2019.5,81.75,82,80.75,81.25,80.75,50.75,81.25,78.25,56.75,66.75,88.5,71.75,75.75,55.75,87.75,82.5,83.75,84.25,72
"158","Sam Johnstone","West Brom","Premier League",2021,92,92,92,92,100,87,100,100,57,33,93,99,57,26,99,96,86,100,57
"159","Sergio Asenjo","Villarreal","La Liga",2019,48.5714285714286,49,48.4285714285714,48.7142857142857,42.5714285714286,33,47.1428571428571,50,71.1428571428571,56.7142857142857,56.4285714285714,45.1428571428571,60.5714285714286,64.5714285714286,57,54,78.7142857142857,84.8571428571429,71.4285714285714
"160","Sergio Rico","Sevilla","La Liga",2017,67.3333333333333,66.6666666666667,67,67.3333333333333,68.6666666666667,46.3333333333333,69,70.3333333333333,47,79.6666666666667,60.6666666666667,60.6666666666667,83,77.3333333333333,58,52.6666666666667,75.3333333333333,91.3333333333333,67.3333333333333
"161","Sergio Rico","Fulham","Premier League",2019,57,57,57,57,91,83,89,87,37,43,32,98,50,29,64,78,54,80,54
"162","Sergio Romero","Manchester Utd","Premier League",2017,5,6,5,5,0,0,5,9,100,16,17,2,27,100,19,3,86,80,100
